region,time,y1,y2,x_common1,x_common2,x_specific1_1,x_specific2_1
1,1,-1.0238674742928546,-0.4208110419449384,8.145346594931699,6.834969509256484,-0.16,23.5
1,2,-0.78636453443889,-0.5519585216473115,8.17889128196409,7.065015405180721,0.26,22.3
2,1,-1.1899419124706534,1.2978309304338358,8.043695464916224,7.28406616965995,-0.08,33.3
2,2,-0.9573869505303132,1.2322571905826492,8.065485172133336,7.60185200857767,-0.2,32.2
3,1,-0.7627664859277589,1.6287495710781963,7.968527234667066,7.6128310304073565,-0.44,17.1
3,2,-0.5049641495050793,1.6668738384335373,7.99964502188942,7.95983485352203,-0.5,16.4
4,1,-0.8827866681402856,1.3664546116734502,8.024731251667205,7.151720545988645,-0.34,32.1
4,2,-0.5988488586353856,1.1941329232273081,8.055728997187972,7.43673511332817,0.45,31.3
5,1,-1.631961272754421,0.7747659823185568,8.16180313594038,6.954638864880987,0.83,59.2
5,2,-1.4667749331765034,0.6039692645666287,8.197566272381804,7.379881653608852,0.42,60.2
6,1,-1.5142247726558744,1.0645104142191484,8.1297939091197,6.580639137284949,0.22,39.7
6,2,-1.3580462903053243,0.9882618795084663,8.174280257965037,7.116718766722513,0.65,38.5
7,1,-1.8887486393486652,1.0599355021365073,8.168571447525101,7.216195404518428,-0.21,59.6
7,2,-1.6946356596603285,0.9989366743679619,8.186520107159362,7.542001351621921,-0.17,59.2
8,1,-0.8778386902266616,2.162489314052971,7.963529653640147,7.80868868853525,-0.54,31.2
8,2,-0.5399806085861125,1.9489934168630614,7.989594347064416,8.195278478002008,-0.42,32.9
9,1,-1.0761384204572955,1.4976020913758232,8.089881167878064,6.502040139618764,-0.17,60.9
9,2,-0.803999635207961,1.5159017397063865,8.123824624255306,7.0790158884166665,-0.39,67.7
10,1,-1.4113322062982008,2.630655317176559,7.99830179323788,8.199436717157631,-0.6,47.9
10,2,-0.9979857436677431,2.487308071920476,8.006334233761345,8.641532465671846,-0.38,46.1
11,1,-0.05419067445105287,0.5658449972112877,7.910627295369411,6.6261878075302105,-0.42,8.9
11,2,0.43768907865462015,0.501796228054315,7.933402531839465,6.9049513516494025,-0.5,9.3
12,1,-0.994813962953881,2.192988727937243,7.967384159671199,7.598048390559176,-0.27,30.1
12,2,-0.7193765257621304,2.2417877901520797,8.008797945221955,8.050448246885422,-0.54,31.8
13,1,-0.6084910720055253,1.4686276481857632,7.974773696059068,6.746059539981839,-0.16,37.3
13,2,-0.347770697326093,1.2978309304338358,8.022962441222083,7.250422572266261,-0.53,40.0
14,1,-0.5854005084086122,2.394284859573444,7.9315721797933,7.22773511773308,-0.28,50.3
14,2,-0.22889235617055603,2.301261647226412,7.975633408280386,7.88529161629307,-0.52,56.1
15,1,-1.0861612475130986,2.9951233130936195,8.009562458546766,6.968474014016842,-1.09,129.0
15,2,-0.5491153370420342,2.5986309325980725,8.02040195661405,6.724192952752049,-0.78,140.0
