"selected_by","parameter","true_value","estimated_value","difference","abs_difference","squared_error"
"pAIC","rho[1,1]",0.45,0.365848379152837,-0.0841516208471633,0.0841516208471633,0.00708149529120472
"pAIC","rho[1,2]",0.15,-0.121933044707907,-0.271933044707907,0.271933044707907,0.0739475808041127
"pAIC","rho[2,1]",0.1,0.0599191535680254,-0.0400808464319746,0.0400808464319746,0.00160647425070353
"pAIC","rho[2,2]",0.35,0.345326845691758,-0.00467315430824178,0.00467315430824178,2.18383711886387e-05
"pAIC","lambda[1,1]",0.22,0.263938853692592,0.0439388536925921,0.0439388536925921,0.00193062286381901
"pAIC","lambda[1,2]",0.08,-0.0879103399191444,-0.167910339919144,0.167910339919144,0.0281938822517626
"pAIC","lambda[2,1]",0.05,-0.057344331423108,-0.107344331423108,0.107344331423108,0.0115228054886741
"pAIC","lambda[2,2]",0.17,0.222206807990796,0.0522068079907962,0.0522068079907962,0.00272555080058786
"pAIC","alpha[1,1]",0.55,0.559012238178476,0.00901223817847574,0.00901223817847574,8.12204369855757e-05
"pAIC","alpha[1,2]",0.05,0.0194858946822857,-0.0305141053177143,0.0305141053177143,0.000931110623340558
"pAIC","alpha[2,1]",0.1,0.0964629066717966,-0.00353709332820344,0.00353709332820344,1.25110292124213e-05
"pAIC","alpha[2,2]",0.65,0.657001743251072,0.00700174325107161,0.00700174325107161,4.90244085539269e-05
"pAIC","sigma[1,1]",0.1,0.0986068326492762,-0.00139316735072378,0.00139316735072378,1.94091526712273e-06
"pAIC","sigma[1,2]",0.03,0.0332465997248848,0.0032465997248848,0.0032465997248848,1.05404097736221e-05
"pAIC","sigma[2,1]",0.03,0.0332465997248848,0.0032465997248848,0.0032465997248848,1.05404097736221e-05
"pAIC","sigma[2,2]",0.1,0.10138064438243,0.0013806443824298,0.0013806443824298,1.90617891073495e-06
"pAIC","beta_intercept_y1",0.2,0.181789336071058,-0.0182106639289421,0.0182106639289421,0.000331628280732874
"pAIC","beta_intercept_y2",-0.1,-0.0897267505301983,0.0102732494698018,0.0102732494698018,0.000105539654668782
"pAIC","beta_common1_y1",1.2,1.17635921227557,-0.0236407877244309,0.0236407877244309,0.000558886844231603
"pAIC","beta_common1_y2",0.8,0.783088312120732,-0.0169116878792676,0.0169116878792676,0.000286005186925765
"pAIC","beta_common2_y1",-0.6,-0.588947493425418,0.0110525065745821,0.0110525065745821,0.000122157901581181
"pAIC","beta_common2_y2",-0.3,-0.337659502294107,-0.0376595022941073,0.0376595022941073,0.00141823811303987
"pAIC","beta_specific1_1",0.8,0.786388297108082,-0.0136117028919182,0.0136117028919182,0.000185278455617853
"pAIC","beta_specific2_1",0.5,0.481625798297919,-0.0183742017020811,0.0183742017020811,0.000337611288188762
"pBIC","rho[1,1]",0.45,0.352001979358819,-0.0979980206411814,0.0979980206411814,0.00960361204958942
"pBIC","rho[1,2]",0.15,-0.107086087523023,-0.257086087523023,0.257086087523023,0.0660932563978954
"pBIC","rho[2,1]",0.1,0.0590613685664022,-0.0409386314335978,0.0409386314335978,0.00167597154365596
"pBIC","rho[2,2]",0.35,0.338786205029452,-0.0112137949705484,0.0112137949705484,0.000125749197641496
"pBIC","lambda[1,1]",0.22,0.199972495204106,-0.0200275047958945,0.0200275047958945,0.000401100948349577
"pBIC","lambda[1,2]",0.08,-0.063431519343306,-0.143431519343306,0.143431519343306,0.0205726007411292
"pBIC","lambda[2,1]",0.05,-0.0578049992484868,-0.107804999248487,0.107804999248487,0.0116219178629662
"pBIC","lambda[2,2]",0.17,0.16762016278243,-0.00237983721756976,0.00237983721756976,5.66362518213019e-06
"pBIC","alpha[1,1]",0.55,0.558971969017239,0.00897196901723896,0.00897196901723896,8.04962280462958e-05
"pBIC","alpha[1,2]",0.05,0.0190153733652488,-0.0309846266347512,0.0309846266347512,0.000960047087694935
"pBIC","alpha[2,1]",0.1,0.0956034192586821,-0.00439658074131793,0.00439658074131793,1.93299222149278e-05
"pBIC","alpha[2,2]",0.65,0.658762194999113,0.00876219499911302,0.00876219499911302,7.67760612024811e-05
"pBIC","sigma[1,1]",0.1,0.0996846915121627,-0.000315308487837354,0.000315308487837354,9.94194425022789e-08
"pBIC","sigma[1,2]",0.03,0.0330033758273296,0.00300337582732962,0.00300337582732962,9.0202663601879e-06
"pBIC","sigma[2,1]",0.03,0.0330033758273296,0.00300337582732962,0.00300337582732962,9.0202663601879e-06
"pBIC","sigma[2,2]",0.1,0.102060080652674,0.00206008065267373,0.00206008065267373,4.24393229552061e-06
"pBIC","beta_intercept_y1",0.2,0.191802657628049,-0.00819734237195119,0.00819734237195119,6.71964219629863e-05
"pBIC","beta_intercept_y2",-0.1,-0.0897508713897459,0.0102491286102541,0.0102491286102541,0.00010504463726953
"pBIC","beta_common1_y1",1.2,1.1760510732008,-0.0239489267991992,0.0239489267991992,0.000573551094833404
"pBIC","beta_common1_y2",0.8,0.783557318571158,-0.0164426814288416,0.0164426814288416,0.000270361772570374
"pBIC","beta_common2_y1",-0.6,-0.589026513915096,0.010973486084904,0.010973486084904,0.000120417396855582
"pBIC","beta_common2_y2",-0.3,-0.336871479096788,-0.0368714790967879,0.0368714790967879,0.00135950597078487
"pBIC","beta_specific1_1",0.8,0.786110528735644,-0.0138894712643561,0.0138894712643561,0.000192917412003375
"pBIC","beta_specific2_1",0.5,0.480767683302436,-0.0192323166975635,0.0192323166975635,0.000369882005555381
