"gamma","logLik","deff","deff_exact_computed","hessian_ok","hessian_error","free_spatial_param_count","beta_sigma_count","nominal_param_count","pAIC","pAIC_lower_bound","pAIC_upper_bound","pBIC","pBIC_lower_bound","pBIC_upper_bound","AIC","BIC","optim_convergence","best_optim_converged","n_starts","n_successful_starts","n_converged_starts","retry_used"
0,-906.414138570182,19,TRUE,TRUE,"",8,11,19,1850.82827714036,1834.82827714036,1850.82827714036,1939.83589996605,1886.35900614471,1939.83589996605,1850.82827714036,1939.83589996605,0,TRUE,14,14,14,FALSE
0.01,-906.414151460466,18.9952236064055,TRUE,TRUE,"",8,11,19,1850.81875013374,1834.82830292093,1850.82830292093,1939.80399740999,1886.35903192528,1939.83592574662,1850.82830292093,1939.83592574662,0,TRUE,17,17,17,FALSE
0.0316227766016838,-906.414270121555,18.9849155334851,TRUE,TRUE,"",8,11,19,1850.79837131008,1834.82854024311,1850.82854024311,1939.73532926703,1886.35926924746,1939.8361630688,1850.82854024311,1939.8361630688,0,TRUE,17,17,17,FALSE
0.1,-906.415404263985,18.9525137952111,TRUE,TRUE,"",8,11,19,1850.73583611839,1834.83080852797,1850.83080852797,1939.52100451223,1886.36153753232,1939.83843135366,1850.83080852797,1939.83843135366,0,TRUE,17,17,17,FALSE
0.316227766016838,-906.425657937825,18.8520227692744,TRUE,TRUE,"",8,11,19,1850.5553614142,1834.85131587565,1850.85131587565,1938.8697683694,1886.38204488,1939.85893870134,1850.85131587565,1939.85893870134,0,TRUE,17,17,17,FALSE
1,-906.499945691437,18.5579748877365,TRUE,TRUE,"",8,11,19,1850.11584115835,1834.99989138287,1850.99989138287,1937.0527479592,1886.53062038722,1940.00751420856,1850.99989138287,1940.00751420856,0,TRUE,17,17,17,FALSE
3.16227766016838,-906.801556181983,17.9230391901876,TRUE,TRUE,"",8,11,19,1849.44919074434,1835.60311236397,1851.60311236397,1933.41167033015,1887.13384136831,1940.61073518966,1851.60311236397,1940.61073518966,0,TRUE,17,17,17,FALSE
10,-907.393002446043,17.1291269396975,TRUE,TRUE,"",8,11,19,1849.04425877148,1836.78600489209,1852.78600489209,1929.2875677179,1888.31673389643,1941.79362771778,1852.78600489209,1941.79362771778,0,TRUE,17,17,17,FALSE
31.6227766016838,-908.564103458998,16.0310777513423,TRUE,TRUE,"",8,11,19,1849.19036242068,1839.128206918,1855.128206918,1924.28973726178,1890.65893592234,1944.13582974369,1855.128206918,1944.13582974369,0,TRUE,17,17,17,FALSE
100,-912.186917527452,14.6624861511636,TRUE,TRUE,"",8,11,19,1853.69880735723,1846.3738350549,1862.3738350549,1922.38686193774,1897.90456405925,1951.3814578806,1862.3738350549,1951.3814578806,0,TRUE,17,17,17,FALSE
316.227766016838,-925.375879846111,13.3982795559331,TRUE,TRUE,"",8,11,19,1877.54831880409,1872.75175969222,1888.75175969222,1940.31405634239,1924.28248869657,1977.75938251791,1888.75175969222,1977.75938251791,0,TRUE,17,17,17,FALSE
1000,-951.693556947789,NA,FALSE,FALSE,"",8,11,19,NA,1925.38711389558,1941.38711389558,NA,1976.91784289993,2030.39473672127,1941.38711389558,2030.39473672127,0,TRUE,17,17,17,FALSE
3162.27766016838,-974.836460529206,NA,FALSE,FALSE,"",8,11,19,NA,1971.67292105841,1987.67292105841,NA,2023.20365006276,2076.6805438841,1987.67292105841,2076.6805438841,0,TRUE,17,17,17,FALSE
10000,-986.288885103206,NA,FALSE,FALSE,"",8,11,19,NA,1994.57777020641,2010.57777020641,NA,2046.10849921076,2099.5853930321,2010.57777020641,2099.5853930321,0,TRUE,17,17,17,FALSE
