"region","time","y1_obs","y1_pred","y1_resid","y1_resid_reduced","y2_obs","y2_pred","y2_resid","y2_resid_reduced"
1,2,-0.78636453443889,-0.855157858579808,0.184130110143717,0.0687933241409181,-0.551958521647312,0.13167052958674,-0.921308393269657,-0.683629051234052
2,2,-0.957386950530313,-0.3465729306993,-0.415445289470699,-0.610814019831013,1.23225719058265,0.563450454221605,0.00501817544361867,0.668806736361044
3,2,-0.504964149505079,-0.0908306240138954,-0.259004374563189,-0.414133525491184,1.66687383843354,0.54991651142641,0.737130307723566,1.11695732700713
4,2,-0.598848858635386,-0.579576026199093,0.1769187071205,-0.0192728324362926,1.19413292322731,0.478200899394011,0.198303033941424,0.715932023833298
5,2,-1.4667749331765,-1.15505499201889,-0.12551545485749,-0.311719941157615,0.603969264566629,0.281667833047563,0.122519908465738,0.322301431519066
6,2,-1.35804629030532,-1.09034491456676,-0.0729890361656033,-0.267701375738564,0.988261879508466,0.198399772566657,0.530950869744694,0.78986210694181
7,2,-1.69463565966033,-0.869774931970622,-0.641804478803226,-0.824860727689707,0.998936674367962,0.424497133660717,0.0507960487321913,0.574439540707245
8,2,-0.539980608586113,-0.148771563720347,-0.295066820654538,-0.391209044865765,1.94899341686306,0.754290109972108,0.903786201179081,1.19470330689095
9,2,-0.803999635207961,-0.465471341270752,-0.106358997634644,-0.338528293937209,1.51590173970639,0.486310736259226,0.45558333161128,1.02959100344716
10,2,-0.997985743667743,-0.432027233068807,-0.210425768163301,-0.565958510598936,2.48730807192048,0.988675440146765,0.640728967376196,1.49863263177371
11,2,0.43768907865462,0.263473862624981,0.250507763880647,0.174215216029639,0.501796228054315,0.404052036680918,0.0699380307047035,0.0977441913733965
12,2,-0.71937652576213,-0.202401025561018,-0.275198274780894,-0.516975500201112,2.24178779015208,0.834949435000392,0.549130319091535,1.40683835515169
13,2,-0.347770697326093,-0.00936973141639033,-0.1352237974746,-0.338400965909703,1.29783093043384,0.52961253440145,0.00568404655559519,0.768218396032386
14,2,-0.228892356170556,-0.0640894090093349,0.14195359872735,-0.164802947161221,2.30126164722641,0.965702203335126,0.359241718395316,1.33555944389129
15,2,-0.549115337042034,0.141996336322755,-0.44832286265188,-0.69111167336479,2.59863093259807,0.961671784729298,0.773248744571087,1.63695914786877
16,2,-1.32632848316671,-0.549558610335105,-0.529445059709561,-0.776769872831602,2.29363679375534,1.01073095752746,0.568019749835104,1.28290583622788
17,2,-0.589079774036692,-0.066014592642374,-0.148397137285048,-0.523065181394318,1.59367524511128,1.11831623513625,-0.278661404162301,0.475359009975032
18,2,0.107062657041676,0.57571734242175,-0.19529927504044,-0.468654685380074,1.78124664049956,0.840445269809672,0.233495135013553,0.940801370689889
19,2,0.181028583288931,0.0866593517489236,0.429303746819643,0.0943692315400076,2.03439177573902,0.696190873692305,0.565019006838159,1.33820090204672
20,2,-0.69806215936498,-0.902056832146343,0.159186824805761,0.203994672781364,-0.92405137103544,0.304907853754279,-0.964194339551691,-1.22895922478972
21,2,-0.346248242583439,0.399149123470688,-0.692701824626188,-0.745397366054127,0.472821784864256,0.0164741049935252,0.327594773812894,0.45634767987073
22,2,-0.0992299605878896,0.49393328692979,-0.591648366064923,-0.59316324751768,-0.466560162771348,-0.105090542957127,-0.378095190948874,-0.361469619814221
23,2,0.788741768064834,0.590403046047261,0.334398879650398,0.198338722017573,0.986736908814253,0.31153801001536,0.725256707680347,0.675198898798893
24,2,-0.316814117558803,-0.430441759964605,0.0682571326076194,0.113627642405802,-0.213415027531883,0.453351845044204,-0.237689922359964,-0.666766872576087
25,2,1.3684164113302,0.913778075813662,0.62913938471417,0.454638335516538,-1.1314473854485,-0.0477420601018595,-1.06299297259015,-1.08370532534664
26,2,-0.294738523790325,0.0526022958505278,-0.601818523620277,-0.347340819640853,-0.158516082540192,0.0398706590718729,0.443630043672237,-0.198386741612065
27,2,0.15260942809273,-0.0448455323021263,0.179432337649579,0.197454960394856,-0.105142108242715,0.464463330798179,-0.333397594395466,-0.569605439040894
28,2,-0.733078618446013,-0.56620420778763,-0.270548626296984,-0.166874410658383,-0.13259158073856,-0.073320501726081,0.326423179104498,-0.0592710790124791
29,2,-0.650612319885609,-0.737694403282169,-0.000517277747477146,0.08708208339656,0.065654609509213,-0.10196467814854,0.519438926875614,0.167619287657753
30,2,-0.144015504267617,-0.341924598575748,0.128188657903637,0.197909094308131,-0.376586891812743,0.489134512408227,-0.477286439658823,-0.86572140422097
31,2,-1.13868593613465,-0.973258145095993,-0.210524944454144,-0.165427791038656,-0.452835426523425,-0.143901144821145,-0.0157241461071565,-0.30893428170228
32,2,0.695872028762964,1.03243679208509,-0.35797873486537,-0.336564763322122,0.449947224451051,-0.128311616436143,0.928021195625566,0.578258840887194
33,2,0.351543514466137,0.477833223414153,-0.230895228966193,-0.126289708948017,-0.0792176064410829,0.368548100435646,-0.22933399629064,-0.447765706876729
34,2,-0.991895924697128,-0.669219946568127,-0.494142224225179,-0.322675978129001,-0.885927103680099,-0.421003498688403,-0.13730496971594,-0.464923604991696
35,2,-0.65632152517056,-0.897405172326712,0.11503710595918,0.241083647156152,-0.00754398381304137,0.140097565836828,0.303259860415246,-0.147641549649869
36,2,-0.0609148495644402,-0.0489951803030988,-0.0847850294026375,-0.0119196692613415,0.834239839392889,1.51950631749993,-0.2320687055091,-0.685266478107044
37,2,0.272375867848148,0.0422158192807414,0.22239837481941,0.230160048567407,0.719867037326866,0.482087200875052,0.525900259830204,0.237779836451814
38,2,-0.296641592218642,0.0215483781126023,-0.42129551339499,-0.318189970331244,1.00961146922746,0.879560645666259,0.36229034750204,0.130050823561199
39,2,2.33783946871489,1.59335101649192,0.486676780396827,0.744488452222974,-0.490959693878766,-0.161109567446526,0.350585302868016,-0.32985012643224
40,2,1.92055999799925,1.06919971299172,0.791324127863066,0.851360285007528,-0.795953832721494,0.127450186423174,-0.852928867660765,-0.923404019144669
41,2,-0.949901548045599,-0.654508986930073,-0.365352981069087,-0.295392561115526,-0.834078100076835,-0.421415016558265,-0.155004825291702,-0.41266308351857
42,2,2.02801992858488,1.25644548391424,0.553170378622186,0.771574444670645,-1.16804668210962,0.146722267652223,-1.11253485777162,-1.31476894976185
43,2,1.49122776057093,1.04020056500795,0.541909045230891,0.451027195562977,0.268475711839628,0.432917595090138,-0.291645987939503,-0.16444188325051
44,2,2.02954238332753,1.59098712082349,0.378466460751567,0.438555262504049,-2.05862956753039,-0.0442300978799112,-1.83566403393537,-2.01439946965048
45,2,0.647026605769493,1.04005259687454,-0.22234290888678,-0.39302599110505,0.637518619839329,-0.139557292734517,0.666529700650562,0.777075912573846
46,2,-0.996843902610753,-1.2721689822221,0.236413608517959,0.275325079611346,-0.846277865630544,0.921141354055549,-1.44392821903473,-1.76741921968609
47,2,-0.536428214186587,-0.561541580289357,0.0499749787522245,0.0251133661027696,-0.463510221382921,-0.0219909203118491,-0.142212122597421,-0.441519301071071
48,2,-0.556727610755302,0.0654002584077252,-0.395393566432712,-0.622127869163027,-0.315588064044197,-0.114376410157108,-0.0761997086555501,-0.201211653887089
