"gamma","loglik","penalty","AIC","BIC","df_eff","GIC_AIC","GIC_BIC","R11","R12","R21","R22","L11","L12","L21","L22"
0,179.080592742225,0,-320.16118548445,-244.514315470615,19,-320.16118548445,-244.514315470615,-0.00311002821740427,0.0286669009670592,-0.0451019864050073,0.0520219739838587,,,,
0.01,179.080592742071,2.7859384568985e-05,-320.161185484143,-244.514315470308,18.9999743063504,-320.161236871442,-244.514469154668,-0.00311002631479425,0.0286667061596579,-0.0451017271134729,0.0520217148838438,,,,
0.0316227766016838,179.080592740688,8.80970064939426e-05,-320.161185481375,-244.51431546754,18.9999187506982,-320.161347979979,-244.514801453269,-0.00311002204664786,0.0286662847730005,-0.0451011664392458,0.0520211550935974,,,,
0.1,179.080592726849,0.000278566166210579,-320.161185453697,-244.514315439862,18.9997430786844,-320.161699296329,-244.515852192671,-0.00311000866836208,0.0286649524514128,-0.0450993935440355,0.052019384590869,,,,
0.316227766016838,179.080592588487,0.000880693317590463,-320.161185176974,-244.514315163139,18.9991876588371,-320.1628098593,-244.519174112115,-0.00310996637830185,0.0286607402113293,-0.0450937880973276,0.0520137862691194,,,,
1,179.080591205996,0.00278289593179958,-320.161182411993,-244.514312398157,18.9974323048639,-320.166317802265,-244.529670846334,-0.00310983187413751,0.0286474282250916,-0.045076071379697,0.0519960907605029,,,,
3.16227766016838,179.080577417095,0.00877933111963672,-320.161154834191,-244.514284820356,18.9918917353509,-320.177371363489,-244.562783709756,-0.00310939899518063,0.0286054140879877,-0.045020138561231,0.0519402115979588,,,,
10,179.080440654423,0.0275546685000328,-320.160881308847,-244.514011295012,18.9744737910685,-320.21193372671,-244.666694123874,-0.00310796051649217,0.0284733744866154,-0.0448441825384224,0.0517642784093443,,,,
31.6227766016838,179.07910775072,0.0851038906020617,-320.158215501439,-244.511345487604,18.9204004150915,-320.317414671256,-244.987463575986,-0.00310274298963995,0.0280638625664934,-0.0442967827507859,0.0512155277489665,,,,
100,179.066795212375,0.250233354493182,-320.13359042475,-244.486720410915,18.7588431317202,-320.615904161309,-245.929179529985,-0.00308035973974886,0.0268440211732212,-0.0426509704094385,0.0495527166169749,,,,
316.227766016838,178.969300892022,0.638927385562789,-319.938601784044,-244.291731770208,18.3260674912584,-321.286466801527,-248.322801255422,-0.00297011693688663,0.0236049759246847,-0.0381670961904143,0.0449242460263712,,,,
354.813389233575,178.945422893871,0.691624256004492,-319.890845787743,-244.243975773908,18.2591220992852,-321.372601589173,-248.675473378048,-0.00294649645602784,0.0231077549027431,-0.0374637852230184,0.0441852759943399,,,,
398.107170553497,178.91701365182,0.745955360140724,-319.83402730364,-244.187157289805,18.1871338348785,-321.459759633883,-249.049246521711,-0.00291919954641833,0.02257433381606,-0.0367047075431238,0.043383781142746,,,,
446.683592150963,178.883394888883,0.801401782613085,-319.766789777767,-244.119919763932,18.1100357972966,-321.546718183174,-249.44316429349,-0.0028877496683978,0.0220043041702424,-0.0358884296574642,0.0425173181068831,,,,
501.187233627272,178.843855338904,0.857346294428836,-319.687710677807,-244.040840663972,18.0278226565325,-321.632065364742,-249.855836042048,-0.00285166401023862,0.02139811759849,-0.0350142793815865,0.0415842556661322,,,,
562.341325190349,178.797650206004,0.913060390303665,-319.595300412008,-243.948430398173,17.9405571710031,-321.714186070001,-250.285396791546,-0.00281057088791172,0.0207564653496666,-0.0340822790184247,0.0405835074726247,,,,
630.957344480193,178.744028028781,0.96771928625348,-319.488056057563,-243.841186043728,17.8483821603618,-321.791291736839,-250.729489355674,-0.00276408225823502,0.0200807225556925,-0.0330932610278766,0.0395148569963852,,,,
707.945784384138,178.682246260909,1.02040692479454,-319.364492521819,-243.717622507984,17.7515237941361,-321.861444933546,-251.185275828151,-0.00271173994828429,0.0193728501534477,-0.0320488170735651,0.0383788828876086,,,,
794.328234724281,178.611614281457,1.07015052097856,-319.223228562915,-243.57635854908,17.6502969915853,-321.922634579744,-251.649491304584,-0.00265327529461419,0.0186354974417995,-0.0309515898518684,0.0371773697504106,,,,
891.250938133746,178.531528463431,1.11595012917773,-319.063056926861,-243.416186913026,17.545106370357,-321.972844186147,-252.118508345237,-0.00258857928356845,0.0178719172103049,-0.0298054095481338,0.0359132938091849,,,,
1000,178.44150200071,1.15680674067097,-318.883004001421,-243.236133987585,17.436444783862,-322.010114433697,-252.588405377474,-0.0025175948376486,0.0170859401094462,-0.0286149903196916,0.0345908684070776,,,,
1122.01845430196,178.341194964132,1.19175506411837,-318.682389928264,-243.035519914429,17.3248878240146,-322.032614280235,-253.055059689313,-0.00244031266831561,0.0162819396492068,-0.0273859674586326,0.0332153238662134,,,,
1258.92541179417,178.230466024066,1.2199228851823,-318.460932048132,-242.814062034297,17.2110846828428,-322.038762682446,-253.514305535072,-0.00235695621978581,0.015464767947799,-0.0261249798260772,0.0317932307662971,,,,
1412.53754462275,178.10941729175,1.2405886069943,-318.2188345835,-242.571964569665,17.0957459535231,-322.027342676454,-253.9620967851,-0.00226801374528623,0.014639605308519,-0.0248396498026797,0.0303326361646234,,,,
1584.89319246111,177.978382600889,1.2531870662209,-317.956765201778,-242.309895187943,16.9796268838708,-321.997511434036,-254.394583656795,-0.00217393753337559,0.0138118641463282,-0.0235380938715346,0.0288423249440557,,,,
1778.27941003892,177.837923107938,1.25732686852312,-317.675846215876,-242.028976202041,16.8635082134552,-321.948829788965,-254.808218536308,-0.00207552918236517,0.0129871145147747,-0.0222287364678341,0.0273313743730956,,,,
1995.26231496888,177.68892109292,1.2529091023435,-317.377842185841,-241.730972172006,16.7481660366287,-321.881510112583,-255.2001238419,-0.00197352510351088,0.0121707272750822,-0.0209206655181372,0.0258106265813046,,,,
2238.72113856834,177.532449151077,1.2400232776085,-317.064898302154,-241.418028288318,16.6343601191479,-321.796178063858,-255.567900290357,-0.00186887662948304,0.0113679897579039,-0.0196226694170415,0.0242903902385989,,,,
2511.88643150958,177.369818447232,1.21902261517151,-316.739636894464,-241.092766880629,16.5229113247778,-321.693814244909,-255.909260285141,-0.00176256049287674,0.0105838936188074,-0.0183434641842971,0.0227814658533519,,,,
2818.38293126445,177.202422942936,1.19039400089208,-316.404845885873,-240.757975872037,16.4144150314112,-321.57601582305,-256.22343054756,-0.00165562831015133,0.00982265456603693,-0.0170909843067935,0.021293380839114,,,,
3162.27766016838,177.031887363263,1.15492888696226,-316.063774726526,-240.416904712691,16.309481880114,-321.444810966298,-256.510008030615,-0.00154906507460935,0.00908840885685994,-0.0158729179432722,0.0198366544930364,,,,
10000,175.468483580328,0.631383126540158,-312.936967160656,-237.29009714682,15.5255246143507,-319.885917931954,-258.072373595197,-0.000664832755221842,0.00364307936712155,-0.0065363845901699,0.00835692957549951,,,,
