"scope","n","dgp","paramset","prop1_pass_rate","prop1_min_sv_min","prop1_min_sv_median","prop2_min_eig","W_symmetric"
"W",400,NA,NA,NA,NA,NA,0.0264226437462952,FALSE
"cell",400,"0111","mid",1,0.313981322269857,0.397280891513081,NA,NA
"cell",400,"1011","mid",1,0.259670755961181,0.332584090800808,NA,NA
"cell",400,"1111","mid",1,0.251954119561394,0.337743707011619,NA,NA
"cell",400,"0111","realistic",1,0.0107079914055287,0.0117938712471432,NA,NA
"cell",400,"1011","realistic",1,0.0106315885407172,0.0118037135931603,NA,NA
"cell",400,"1111","realistic",1,0.0107039444131237,0.0117842859463747,NA,NA
"cell",400,"0111","strong",1,0.331410981165597,0.401198674526035,NA,NA
"cell",400,"1011","strong",1,0.0831019026344609,0.125039522751795,NA,NA
"cell",400,"1111","strong",1,0.0789072755201534,0.124308817394318,NA,NA
"cell",400,"0111","weak",1,0.308505748931092,0.398759950927713,NA,NA
"cell",400,"1011","weak",1,0.284785763580717,0.379013914998961,NA,NA
"cell",400,"1111","weak",1,0.305343378431804,0.383396644511994,NA,NA
