"parameter","true"
"beta_intercept_y1",1.806478977
"beta_x_common1_y1",-0.184540514
"beta_x_common2_y1",-0.005007925
"beta_x_specific1_1_y1",-0.156635951
"beta_intercept_y2",3.80844793
"beta_x_common1_y2",-0.505670106
"beta_x_common2_y2",0.013953814
"beta_x_specific2_1_y2",0.000963422
"A[1,1]",1.016852035
"A[1,2]",-0.012828768
"A[2,1]",-0.042452876
"A[2,2]",0.92365058
"R[1,1]",-0.002356956
"R[1,2]",0.015464768
"R[2,1]",-0.02612498
"R[2,2]",0.031793231
"Lambda[1,1]",0
"Lambda[1,2]",0
"Lambda[2,1]",0
"Lambda[2,2]",0
"Sigma[1,1]",0.027198906
"Sigma[1,2]",-0.00115182
"Sigma[2,1]",-0.00115182
"Sigma[2,2]",0.020875362
