"parameter","true"
"beta_intercept_y1",0.2
"beta_x_common1_y1",1.2
"beta_x_common2_y1",-0.6
"beta_x_specific1_1_y1",0.8
"beta_intercept_y2",-0.1
"beta_x_common1_y2",0.8
"beta_x_common2_y2",-0.3
"beta_x_specific2_1_y2",0.5
"A[1,1]",0.3
"A[1,2]",0.03
"A[2,1]",0.05
"A[2,2]",0.25
"R[1,1]",0.55
"R[1,2]",0.15
"R[2,1]",0.12
"R[2,2]",0.45
"Lambda[1,1]",0
"Lambda[1,2]",0
"Lambda[2,1]",0
"Lambda[2,2]",0
"Sigma[1,1]",0.1
"Sigma[1,2]",0.03
"Sigma[2,1]",0.03
"Sigma[2,2]",0.1
