"parameter","model_id","gamma","criterion","estimate","se_psi","se_hessian","signif_psi","signif_hessian","SE_ratio"
"A[1,1]","1011",1258.92541179417,"pAIC",1.01685203505409,0.0201122913270368,0.0156502106161516,"***","***",0.778141603145588
"A[1,2]","1011",1258.92541179417,"pAIC",-0.0128287675835183,0.0138648071079515,0.0151531584145114,"","",1.09292241114708
"A[2,1]","1011",1258.92541179417,"pAIC",-0.0424528760445381,0.016776993679476,0.0222283729825576,"*",".",1.32493183267695
"A[2,2]","1011",1258.92541179417,"pAIC",0.923650580336648,0.0123069688269864,0.0296585323373567,"***","***",2.40989741294561
"R[1,1]","1011",1258.92541179417,"pAIC",-0.00235695621978581,,0.0126670617163623,"","",
"R[1,2]","1011",1258.92541179417,"pAIC",0.015464767947799,,0.0128478963493456,"","",
"R[2,1]","1011",1258.92541179417,"pAIC",-0.0261249798260772,,0.00502189445858325,"","***",
"R[2,2]","1011",1258.92541179417,"pAIC",0.0317932307662971,,0.0120108957958216,"","**",
"Lambda[1,1]","1011",1258.92541179417,"pAIC",,,,"","",
"Lambda[1,2]","1011",1258.92541179417,"pAIC",,,,"","",
"Lambda[2,1]","1011",1258.92541179417,"pAIC",,,,"","",
"Lambda[2,2]","1011",1258.92541179417,"pAIC",,,,"","",
"Sigma[1,1]","1011",1258.92541179417,"pAIC",0.0271989059654417,,,"","",
"Sigma[1,2]","1011",1258.92541179417,"pAIC",-0.00115181959638585,,,"","",
"Sigma[2,2]","1011",1258.92541179417,"pAIC",0.0208753621963252,,,"","",
"beta_intercept_y1","1101",17.7827941003892,"pAIC",25.4193339544723,2.93839937594367,0.158043961572741,"***","***",0.0537857320780244
"beta_x_common1_y1","1101",17.7827941003892,"pAIC",-2.97021452620156,0.370778848115425,0.0507288584373232,"***","***",0.13681702366563
"beta_x_common2_y1","1101",17.7827941003892,"pAIC",-0.236250309685992,0.0494569069099845,0.0748849718251919,"***","**",1.51414587979569
"beta_x_specific1_1_y1","1101",17.7827941003892,"pAIC",-0.389564695228901,0.0719986951193971,0.0551109552462533,"***","***",0.765443806375401
"beta_intercept_y2","1101",17.7827941003892,"pAIC",12.3888615790318,1.9397367575021,0.2536789497537,"***","***",0.130780091047187
"beta_x_common1_y2","1101",17.7827941003892,"pAIC",-1.73120746728827,0.248759947705578,0.0465492875416007,"***","***",0.187125330950361
"beta_x_common2_y2","1101",17.7827941003892,"pAIC",0.201259357277281,0.0443620866510191,0.0833307936402891,"***","*",1.87842367055056
"beta_x_specific2_1_y2","1101",17.7827941003892,"pAIC",0.00384147895268654,0.00159232503966613,0.00167017911092239,"*","*",1.04889332850822
"A[1,1]","1101",17.7827941003892,"pAIC",,,,"","",
"A[1,2]","1101",17.7827941003892,"pAIC",,,,"","",
"A[2,1]","1101",17.7827941003892,"pAIC",,,,"","",
"A[2,2]","1101",17.7827941003892,"pAIC",,,,"","",
"R[1,1]","1101",17.7827941003892,"pAIC",0.31157935410185,,0.0500547800618395,"","***",
"R[1,2]","1101",17.7827941003892,"pAIC",-0.102524898990175,,0.0492311378197576,"","*",
"R[2,1]","1101",17.7827941003892,"pAIC",-0.207631991982508,,0.036553066660467,"","***",
"R[2,2]","1101",17.7827941003892,"pAIC",0.763024556462262,,0.03462712381996,"","***",
"Lambda[1,1]","1101",17.7827941003892,"pAIC",0.334152618447528,,0.062334346483884,"","***",
"Lambda[1,2]","1101",17.7827941003892,"pAIC",0.0586388025149959,,0.0755919233553758,"","",
"Lambda[2,1]","1101",17.7827941003892,"pAIC",0.0874215947503213,,0.0700914759992645,"","",
"Lambda[2,2]","1101",17.7827941003892,"pAIC",-0.134146815075896,,0.0691363864603545,"",".",
"Sigma[1,1]","1101",17.7827941003892,"pAIC",0.268027004782273,,,"","",
"Sigma[1,2]","1101",17.7827941003892,"pAIC",-0.0244761987725293,,,"","",
"Sigma[2,2]","1101",17.7827941003892,"pAIC",0.244192656523754,,,"","",
"beta_intercept_y1","0101",4.46683592150963,"pAIC",28.2743605051841,3.36091999316854,0.311341872758362,"***","***",0.0926359072489674
"beta_x_common1_y1","0101",4.46683592150963,"pAIC",-3.33096602263425,0.421397239778779,0.0400711404115074,"***","***",0.0950911316660344
"beta_x_common2_y1","0101",4.46683592150963,"pAIC",-0.220126003189298,0.0503863845103093,0.0680991393271201,"***","**",1.35153851559218
"beta_x_specific1_1_y1","0101",4.46683592150963,"pAIC",-0.366841335234971,0.0719614120709454,0.071421964013334,"***","***",0.992503648245818
"beta_intercept_y2","0101",4.46683592150963,"pAIC",13.5885303840084,3.55023022782744,3.3059100228534,"***","***",0.93118187010549
"beta_x_common1_y2","0101",4.46683592150963,"pAIC",-1.86043855666837,0.441135985877594,0.409366667178027,"***","***",0.927982935610284
