"gamma","loglik","penalty","AIC","BIC","df_eff","GIC_AIC","GIC_BIC","R11","R12","R21","R22","L11","L12","L21","L22"
0,-313.858359567867,0,665.716719135735,741.36358914957,19,665.716719135735,741.36358914957,0.300057624732793,-0.103274992171156,-0.183734616674277,0.825810171445793,0.39392111919421,0.00924729411464183,0.128135773921132,-0.322213479538114
0.01,-313.858360055108,0.00545869269615243,665.716720110215,741.36359012405,18.9969246515709,665.710569413357,741.345195191252,0.300062697216197,-0.103282254885283,-0.18375378804132,0.825772296938488,0.3938818203504,0.00937227376424988,0.128072313554529,-0.322079347937385
0.0316227766016838,-313.858364217675,0.0172556796006233,665.716728435349,741.363598449184,18.9902988757037,665.697326186757,741.305572006453,0.300073777530008,-0.103297832687025,-0.183795216164701,0.825690440034469,0.393796810560964,0.00964099233314387,0.12793579416296,-0.321789464749722
0.1,-313.858405187104,0.0545052883218275,665.716810374208,741.363680388043,18.9695583769132,665.655927128034,741.181596431098,0.300109796600644,-0.103345980164899,-0.183925998235359,0.825431917770077,0.393527702138916,0.0104773438743387,0.127510252964341,-0.320874070949555
0.316227766016838,-313.858807823502,0.171749050893486,665.717615647004,741.364485660839,18.9059852371611,665.529586121326,740.802144422326,0.300232303225283,-0.103488698028551,-0.184338386186439,0.824617347467497,0.392674187374604,0.0129942645907393,0.126225819949729,-0.31799023686411
1,-313.862676337639,0.537216770035763,665.725352675277,741.372222689112,18.7222400007543,665.169832676786,739.710825082306,0.300689694525092,-0.103848428731256,-0.185623310606919,0.822065970654996,0.389961371170939,0.0198887687391455,0.122645744844358,-0.308996545486294
3.16227766016838,-313.897807637645,1.64488639202227,665.79561527529,741.442485289125,18.2566450979066,664.308905471103,736.996171713738,0.302474225750258,-0.104424370847846,-0.189501763844151,0.814158565578562,0.381440797025216,0.0346585446895653,0.114475219128755,-0.281699185615468
3.54813389233576,-313.907356581029,1.83549443039352,665.814713162058,741.461583175893,18.1860138869786,664.186740936015,736.592795071703,0.302812855932272,-0.104468589957733,-0.190161813423323,0.812764224277151,0.379946671130555,0.0365557721746177,0.113330972899168,-0.277000029340736
3.98107170553497,-313.919142742026,2.04699404733191,665.838285484053,741.485155497888,18.1100297279106,664.058344939874,736.161874664818,0.303190037937823,-0.104505986453284,-0.190890637932138,0.811204561387786,0.378286995977656,0.0385002692908883,0.112124650641553,-0.271790873386541
4.46683592150963,-313.933676645335,2.28139396283422,665.867353290671,741.514223304506,18.0284384658272,663.924230222325,735.702911336897,0.30361118678171,-0.104531743873563,-0.191694721225164,0.809459103329354,0.376445314242964,0.0404823715174791,0.110849481106354,-0.26601866324474
5.01187233627272,-313.951567134238,2.54084430669344,665.903134268475,741.550004282311,17.940981316136,663.785096900747,735.215574876662,0.304079211141413,-0.104543876251603,-0.192576955492463,0.807506885902863,0.374402190906383,0.0424766664788185,0.109506717722692,-0.259635025401619
5.62341325190349,-313.973549166649,2.82762411377595,665.947098333298,741.593968347133,17.8473986323351,663.641895597968,734.699782146671,0.304595508021194,-0.104537917405223,-0.193541849595594,0.805324195879773,0.372139509756869,0.0444670773997389,0.108089484814586,-0.252587743275538
6.30957344480193,-314.000504754667,3.1441350756797,666.001009509333,741.647879523169,17.7474224964678,663.495854502269,734.155694642844,0.305160910314541,-0.104512785795363,-0.194594203806958,0.8028812026721,0.369644087668669,0.0464351758582413,0.106593876779214,-0.244820731381584
7.07945784384138,-314.033479342787,3.4928988773533,666.066958685574,741.713828699409,17.6407885701246,663.348535825823,733.583822136653,0.305773671550549,-0.104463464803693,-0.195736761857635,0.800150148133697,0.366895849587461,0.0483576157179755,0.105012391702497,-0.236280007025021
7.94328234724282,-314.073716913614,3.87653441435509,666.147433827229,741.794303841064,17.5272328484381,663.201899524105,732.985073470843,0.306432599312799,-0.104385238714436,-0.196970130152896,0.797097056741228,0.36387917393304,0.0502117148501072,0.103333519310426,-0.226910301706959
8.91250938133745,-314.122694562834,4.2977336763335,666.245389125668,741.892259139503,17.4064868728964,663.058362871461,732.360797075225,0.307132299943324,-0.104274805642183,-0.198293734253754,0.793684304419611,0.360577638896495,0.0519655747327303,0.101548221938392,-0.216656267874683
10,-314.182138900518,4.75925341107282,666.364277801035,742.01114781487,17.2782986934114,662.920875187858,731.712939152106,0.307867202284981,-0.104124080357313,-0.199703278728864,0.789870482294649,0.356976642439136,0.0535955854978069,0.0996349446401741,-0.205470030176339
11.2201845430196,-314.254065153978,5.26388108651939,666.508130307956,742.155000321791,17.1424247252523,662.792979758461,731.04407317494,0.308627234132081,-0.103928758574278,-0.201192710483955,0.785610895001044,0.353063062483453,0.0550653135099584,0.0975801421683606,-0.193300933071223
