"parameter","estimate.1111","se_psi.1111","se_hessian.1111","signif_psi.1111","signif_hessian.1111","estimate.0111","se_psi.0111","se_hessian.0111","signif_psi.0111","signif_hessian.0111","estimate.1011","se_psi.1011","se_hessian.1011","signif_psi.1011","signif_hessian.1011","estimate.1101","se_psi.1101","se_hessian.1101","signif_psi.1101","signif_hessian.1101","estimate.0101","se_psi.0101","se_hessian.0101","signif_psi.0101","signif_hessian.0101","estimate.1001","se_psi.1001","se_hessian.1001","signif_psi.1001","signif_hessian.1001","estimate.d0dd","se_psi.d0dd","se_hessian.d0dd","signif_psi.d0dd","signif_hessian.d0dd","estimate.0ddd","se_psi.0ddd","se_hessian.0ddd","signif_psi.0ddd","signif_hessian.0ddd","estimate.dddd","se_psi.dddd","se_hessian.dddd","signif_psi.dddd","signif_hessian.dddd","estimate.0011","se_psi.0011","se_hessian.0011","signif_psi.0011","signif_hessian.0011","estimate.000d","se_psi.000d","se_hessian.000d","signif_psi.000d","signif_hessian.000d"
"A[2,1]",-0.0284301799436459,0.0182758955519199,0.0187453855186769,"","",-0.0466566775571582,0.018775568025861,0.0148362746008556,"*","**",-0.0583718502939377,0.0170826785109114,0.0233943051610163,"***","*",,,,"","",,,,"","",,,,"","",,,,"","",,,,"","",,,,"","",-0.0584183210544366,0.0173486404535055,,"***","",,,,"",""
"A[2,2]",0.916785161971225,0.014128888882664,0.0187539746536358,"***","***",0.937071516925471,0.014681001068861,0.014889987255933,"***","***",0.947173310668882,0.0125313930863769,0.0302599791737133,"***","***",,,,"","",,,,"","",,,,"","",0.918656120509839,0.0200010746553502,,"***","",0.941599365929442,0.0150655093200305,,"***","",0.928375017609021,0.0179685399933846,,"***","",0.947241396967866,0.0127265080418002,,"***","",,,,"",""
"R[1,1]",-0.0576695718094969,,0.0290101824310091,"","*",,,,"","",-7.77734411278338e-06,,4.97044785158148e-05,"","",0.304750028795026,,0.0437322176663566,"","***",,,,"","",0.493385250392212,,0.039697089419096,"","***",-0.00298818457347852,,,"","",,,,"","",-0.0548167871008108,,,"","",,,,"","",,,,"",""
"R[1,2]",0.0123245337138137,,0.0280514199178233,"","",,,,"","",4.13373002083037e-05,,4.96241531984252e-05,"","",-0.0880555647454516,,0.04847525221842,"",".",,,,"","",-0.0450420247242906,,0.0306106157836603,"","",0,,,"","",,,,"","",0,,,"","",,,,"","",,,,"",""
"R[2,1]",-0.0442179394204919,,0.0248543509733755,"",".",,,,"","",-7.54182683105881e-05,,2.02511176952647e-05,"","***",-0.210753522164979,,0.0413763882297474,"","***",,,,"","",-0.206040176372761,,0.0302926316502022,"","***",0,,,"","",,,,"","",0,,,"","",,,,"","",,,,"",""
"R[2,2]",0.0334018912139877,,0.0242481313867461,"","",,,,"","",9.78884014623649e-05,,5.06320082881708e-05,"",".",0.638845828917932,,0.0394554723412333,"","***",,,,"","",0.719302723656227,,0.0342887316569651,"","***",0.0606677532737302,,,"","",,,,"","",0.0360848244157742,,,"","",,,,"","",,,,"",""
"Lambda[1,1]",0.516369645408955,,0.0816888470270171,"","***",0.479376504852252,,0.0844438240831867,"","***",,,,"","",0.268052185633502,,0.0539114829158189,"","***",0.621779078661453,,0.0711067877141187,"","***",,,,"","",,,,"","",0.489771469280967,,,"","",0.53469003851663,,,"","",,,,"","",,,,"",""
"Lambda[1,2]",0.11059191239981,,0.0521532438026406,"","*",-0.136536809387291,,0.0533687639566049,"","*",,,,"","",0.0377677870647607,,0.0626105780358128,"","",-0.0311564034959414,,0.0601006874652595,"","",,,,"","",,,,"","",0,,,"","",0,,,"","",,,,"","",,,,"",""
"Lambda[2,1]",-0.0256348558085285,,0.0710186276408666,"","",0.15060668171538,,0.0705571183624019,"","*",,,,"","",0.0373840837458365,,0.0619148732808927,"","",-0.197119879228792,,0.0928516810456529,"","*",,,,"","",,,,"","",0,,,"","",0,,,"","",,,,"","",,,,"",""
"Lambda[2,2]",0.302714361817745,,0.0995812232368833,"","**",0.374415400034696,,0.0949073016045716,"","***",,,,"","",0.082151761061704,,0.0597095284746001,"","",0.771789487237223,,0.0433189074092993,"","***",,,,"","",,,,"","",0.443149262444663,,,"","",0.39844822919951,,,"","",,,,"","",,,,"",""
