"parameter","model_id","gamma","criterion","estimate","se_psi","se_hessian","signif_psi","signif_hessian","SE_ratio"
"beta_intercept_y1","1111",7.07945784384138,"pBIC",2.60543003313381,1.13176566058881,0.312672457441764,"*","***",0.276269609805173
"beta_x_common1_y1","1111",7.07945784384138,"pBIC",-0.275504914863195,0.140755921429472,0.0402940797710502,".","***",0.286269162688408
"beta_x_common2_y1","1111",7.07945784384138,"pBIC",-0.0128848300947164,0.0160409955989248,0.0161460723842779,"","",1.00655051519122
"beta_x_specific1_1_y1","1111",7.07945784384138,"pBIC",-0.150158558662503,0.0217081578494657,0.0216557830861344,"***","***",0.997587323452573
"beta_intercept_y2","1111",7.07945784384138,"pBIC",3.65273696564614,0.969620335776086,0.110043611612644,"***","***",0.113491443560293
"beta_x_common1_y2","1111",7.07945784384138,"pBIC",-0.490846229961755,0.120573714410391,0.0133521154012686,"***","***",0.110738194195648
"beta_x_common2_y2","1111",7.07945784384138,"pBIC",0.0203527075124737,0.0146510202136237,0.027690869310203,"","",1.89003010755892
"beta_x_specific2_1_y2","1111",7.07945784384138,"pBIC",0.000889673991364564,0.000472409034766407,0.000487804013533719,".",".",1.0325882395008
"A[1,1]","1111",7.07945784384138,"pBIC",1.03704452959382,0.0215649402838775,0.0202304677779128,"***","***",0.938118423311267
"A[1,2]","1111",7.07945784384138,"pBIC",-0.0213141737191252,0.0166991459879374,0.0185505850779981,"","",1.11087028590552
"A[2,1]","1111",7.07945784384138,"pBIC",-0.0284301799436459,0.0182758955519199,0.0187453855186769,"","",1.02568902658823
"A[2,2]","1111",7.07945784384138,"pBIC",0.916785161971225,0.014128888882664,0.0187539746536358,"***","***",1.32734957500067
"R[1,1]","1111",7.07945784384138,"pBIC",-0.0576695718094969,,0.0290101824310091,"","*",
"R[1,2]","1111",7.07945784384138,"pBIC",0.0123245337138137,,0.0280514199178233,"","",
"R[2,1]","1111",7.07945784384138,"pBIC",-0.0442179394204919,,0.0248543509733755,"",".",
"R[2,2]","1111",7.07945784384138,"pBIC",0.0334018912139877,,0.0242481313867461,"","",
"Lambda[1,1]","1111",7.07945784384138,"pBIC",0.516369645408955,,0.0816888470270171,"","***",
"Lambda[1,2]","1111",7.07945784384138,"pBIC",0.11059191239981,,0.0521532438026406,"","*",
"Lambda[2,1]","1111",7.07945784384138,"pBIC",-0.0256348558085285,,0.0710186276408666,"","",
"Lambda[2,2]","1111",7.07945784384138,"pBIC",0.302714361817745,,0.0995812232368833,"","**",
"Sigma[1,1]","1111",7.07945784384138,"pBIC",0.0219960408486039,,,"","",
"Sigma[1,2]","1111",7.07945784384138,"pBIC",-0.0015288947942995,,,"","",
"Sigma[2,2]","1111",7.07945784384138,"pBIC",0.0195062582921382,,,"","",
"beta_intercept_y1","0111",5.62341325190349,"pBIC",1.982256443024,1.13426738789264,0.416495653821473,".","***",0.367193536786137
"beta_x_common1_y1","0111",5.62341325190349,"pBIC",-0.198605728221565,0.141136742732973,0.0530182706349706,"","***",0.375651794198479
"beta_x_common2_y1","0111",5.62341325190349,"pBIC",-0.0133289574563357,0.0162970771476025,0.016338519516405,"","",1.0025429326024
"beta_x_specific1_1_y1","0111",5.62341325190349,"pBIC",-0.149969544310173,0.0220802303027211,0.0219390712524199,"***","***",0.993606993751159
"beta_intercept_y2","0111",5.62341325190349,"pBIC",3.15562529925322,0.998871374102093,0.100224881156033,"**","***",0.100338125362864
"beta_x_common1_y2","0111",5.62341325190349,"pBIC",-0.431142003693414,0.124130127411978,0.0124096303982482,"***","***",0.0999727516355609
"beta_x_common2_y2","0111",5.62341325190349,"pBIC",0.0211720792137709,0.0147303759626546,0.017434788391603,"","",1.18359425691542
"beta_x_specific2_1_y2","0111",5.62341325190349,"pBIC",0.000971082254757225,0.000477078035966056,0.000481469066455131,"*","*",1.0092040089001
"A[1,1]","0111",5.62341325190349,"pBIC",1.02412279251025,0.021676853532798,0.0188137447594949,"***","***",0.867918617940973
"A[1,2]","0111",5.62341325190349,"pBIC",-0.00419540143797278,0.0165444581398433,0.016243867940437,"","",0.981831366318222
"A[2,1]","0111",5.62341325190349,"pBIC",-0.0466566775571582,0.018775568025861,0.0148362746008556,"*","**",0.790190452849174
"A[2,2]","0111",5.62341325190349,"pBIC",0.937071516925471,0.014681001068861,0.014889987255933,"***","***",1.01423514555252
"R[1,1]","0111",5.62341325190349,"pBIC",,,,"","",
"R[1,2]","0111",5.62341325190349,"pBIC",,,,"","",
"R[2,1]","0111",5.62341325190349,"pBIC",,,,"","",
"R[2,2]","0111",5.62341325190349,"pBIC",,,,"","",
"Lambda[1,1]","0111",5.62341325190349,"pBIC",0.479376504852252,,0.0844438240831867,"","***",
"Lambda[1,2]","0111",5.62341325190349,"pBIC",-0.136536809387291,,0.0533687639566049,"","*",
"Lambda[2,1]","0111",5.62341325190349,"pBIC",0.15060668171538,,0.0705571183624019,"","*",
"Lambda[2,2]","0111",5.62341325190349,"pBIC",0.374415400034696,,0.0949073016045716,"","***",
"Sigma[1,1]","0111",5.62341325190349,"pBIC",0.02289735376203,,,"","",
"Sigma[1,2]","0111",5.62341325190349,"pBIC",-0.00126079778180752,,,"","",
"Sigma[2,2]","0111",5.62341325190349,"pBIC",0.0198083409230308,,,"","",
"beta_intercept_y1","1011",1e+06,"pBIC",1.79932084632827,1.02386848745152,0.0353878374797864,".","***",0.0345628739564678
"beta_x_common1_y1","1011",1e+06,"pBIC",-0.183992128419058,0.12814518736512,0.0197419183206489,"","***",0.154058991418841
"beta_x_common2_y1","1011",1e+06,"pBIC",-0.00499772669402915,0.0173963973514891,0.0242157333054977,"","",1.39199702192505
"beta_x_specific1_1_y1","1011",1e+06,"pBIC",-0.156956559984835,0.0232570054700597,0.0188390953023279,"***","***",0.810039595449239
"beta_intercept_y2","1011",1e+06,"pBIC",3.56824754881445,0.89821812652176,0.24698843121745,"***","***",0.274976004073624
"beta_x_common1_y2","1011",1e+06,"pBIC",-0.4777878115597,0.112173339664709,0.0533007174455419,"***","***",0.475163863399805
"beta_x_common2_y2","1011",1e+06,"pBIC",0.0145698855688616,0.0153335707969189,0.0954149187936925,"","",6.22261572711197
"beta_x_specific2_1_y2","1011",1e+06,"pBIC",0.00102945957883312,0.000488968904128211,0.000540628028924443,"*",".",1.10564910030084
"A[1,1]","1011",1e+06,"pBIC",1.01445111872071,0.0201572276390575,0.0144272991342368,"***","***",0.715738264833691
"A[1,2]","1011",1e+06,"pBIC",-0.0023833206416236,0.0138950796107053,0.0131866046231065,"","",0.949012527639432
"A[2,1]","1011",1e+06,"pBIC",-0.0583718502939377,0.0170826785109114,0.0233943051610163,"***","*",1.36947523458183
"A[2,2]","1011",1e+06,"pBIC",0.947173310668882,0.0125313930863769,0.0302599791737133,"***","***",2.41473385801052
"R[1,1]","1011",1e+06,"pBIC",-7.77734411278338e-06,,4.97044785158148e-05,"","",
"R[1,2]","1011",1e+06,"pBIC",4.13373002083037e-05,,4.96241531984252e-05,"","",
"R[2,1]","1011",1e+06,"pBIC",-7.54182683105881e-05,,2.02511176952647e-05,"","***",
"R[2,2]","1011",1e+06,"pBIC",9.78884014623649e-05,,5.06320082881708e-05,"",".",
"Lambda[1,1]","1011",1e+06,"pBIC",,,,"","",
"Lambda[1,2]","1011",1e+06,"pBIC",,,,"","",
"Lambda[2,1]","1011",1e+06,"pBIC",,,,"","",
"Lambda[2,2]","1011",1e+06,"pBIC",,,,"","",
"Sigma[1,1]","1011",1e+06,"pBIC",0.0273177764274833,,,"","",
"Sigma[1,2]","1011",1e+06,"pBIC",-0.000856072773931394,,,"","",
"Sigma[2,2]","1011",1e+06,"pBIC",0.0216430105981245,,,"","",
"beta_intercept_y1","1101",56.2341325190349,"pBIC",25.2424971290923,2.87446545857383,0.241596682507609,"***","***",0.0840492557623139
"beta_x_common1_y1","1101",56.2341325190349,"pBIC",-2.94194239755765,0.363324203272307,0.0540392801177723,"***","***",0.148735701148075
"beta_x_common2_y1","1101",56.2341325190349,"pBIC",-0.244478401387211,0.0495285458590949,0.0901332603398354,"***","**",1.81982448255715
"beta_x_specific1_1_y1","1101",56.2341325190349,"pBIC",-0.401022390559367,0.0722283785576345,0.0591931396240395,"***","***",0.819527460066218
"beta_intercept_y2","1101",56.2341325190349,"pBIC",12.6610734313399,2.31709762737262,0.21874725077094,"***","***",0.0944057117778758
"beta_x_common1_y2","1101",56.2341325190349,"pBIC",-1.79429660188481,0.294666250920422,0.0541042958528974,"***","***",0.183612122813172
"beta_x_common2_y2","1101",56.2341325190349,"pBIC",0.232011916178139,0.0483845280177173,0.0882631979528856,"***","**",1.8242029336437
"beta_x_specific2_1_y2","1101",56.2341325190349,"pBIC",0.0042986474075609,0.0017057837307556,0.00173841605428515,"*","*",1.01913039908939
"A[1,1]","1101",56.2341325190349,"pBIC",,,,"","",
"A[1,2]","1101",56.2341325190349,"pBIC",,,,"","",
"A[2,1]","1101",56.2341325190349,"pBIC",,,,"","",
"A[2,2]","1101",56.2341325190349,"pBIC",,,,"","",
"R[1,1]","1101",56.2341325190349,"pBIC",0.304750028795026,,0.0437322176663566,"","***",
"R[1,2]","1101",56.2341325190349,"pBIC",-0.0880555647454516,,0.04847525221842,"",".",
"R[2,1]","1101",56.2341325190349,"pBIC",-0.210753522164979,,0.0413763882297474,"","***",
"R[2,2]","1101",56.2341325190349,"pBIC",0.638845828917932,,0.0394554723412333,"","***",
"Lambda[1,1]","1101",56.2341325190349,"pBIC",0.268052185633502,,0.0539114829158189,"","***",
"Lambda[1,2]","1101",56.2341325190349,"pBIC",0.0377677870647607,,0.0626105780358128,"","",
"Lambda[2,1]","1101",56.2341325190349,"pBIC",0.0373840837458365,,0.0619148732808927,"","",
"Lambda[2,2]","1101",56.2341325190349,"pBIC",0.082151761061704,,0.0597095284746001,"","",
"Sigma[1,1]","1101",56.2341325190349,"pBIC",0.274254353409159,,,"","",
"Sigma[1,2]","1101",56.2341325190349,"pBIC",-0.0302427209421229,,,"","",
"Sigma[2,2]","1101",56.2341325190349,"pBIC",0.270932225645247,,,"","",
"beta_intercept_y1","0101",15.8489319246111,"pBIC",28.6623488438642,3.34031918662726,0.317615979782189,"***","***",0.0950855178911472
"beta_x_common1_y1","0101",15.8489319246111,"pBIC",-3.37736153091104,0.418981379897586,0.0411411816879136,"***","***",0.0981933414271776
"beta_x_common2_y1","0101",15.8489319246111,"pBIC",-0.224470004322604,0.0507042132041331,0.0752803817047658,"***","**",1.48469677266641
"beta_x_specific1_1_y1","0101",15.8489319246111,"pBIC",-0.374873463329924,0.0723948432923663,0.071865880566245,"***","***",0.992693364581437
"beta_intercept_y2","0101",15.8489319246111,"pBIC",13.3593624400257,3.55029519492271,3.21154684243273,"***","***",0.904585862895449
"beta_x_common1_y2","0101",15.8489319246111,"pBIC",-1.83477515427512,0.441327822622088,0.397434815543044,"***","***",0.900543304026789
"beta_x_common2_y2","0101",15.8489319246111,"pBIC",0.170188932928109,0.0497715682539743,0.0508793106780083,"***","***",1.02225653044287
"beta_x_specific2_1_y2","0101",15.8489319246111,"pBIC",0.00414989981534378,0.00169127053029309,0.00170481739014169,"*","*",1.00800987163553
"A[1,1]","0101",15.8489319246111,"pBIC",,,,"","",
"A[1,2]","0101",15.8489319246111,"pBIC",,,,"","",
"A[2,1]","0101",15.8489319246111,"pBIC",,,,"","",
"A[2,2]","0101",15.8489319246111,"pBIC",,,,"","",
"R[1,1]","0101",15.8489319246111,"pBIC",,,,"","",
"R[1,2]","0101",15.8489319246111,"pBIC",,,,"","",
"R[2,1]","0101",15.8489319246111,"pBIC",,,,"","",
"R[2,2]","0101",15.8489319246111,"pBIC",,,,"","",
"Lambda[1,1]","0101",15.8489319246111,"pBIC",0.621779078661453,,0.0711067877141187,"","***",
"Lambda[1,2]","0101",15.8489319246111,"pBIC",-0.0311564034959414,,0.0601006874652595,"","",
"Lambda[2,1]","0101",15.8489319246111,"pBIC",-0.197119879228792,,0.0928516810456529,"","*",
"Lambda[2,2]","0101",15.8489319246111,"pBIC",0.771789487237223,,0.0433189074092993,"","***",
"Sigma[1,1]","0101",15.8489319246111,"pBIC",0.265975357602105,,,"","",
"Sigma[1,2]","0101",15.8489319246111,"pBIC",-0.0364995753349143,,,"","",
"Sigma[2,2]","0101",15.8489319246111,"pBIC",0.262208609427144,,,"","",
"beta_intercept_y1","1001",19.9526231496888,"pBIC",19.6448858727937,2.53419096299544,0.175283180467371,"***","***",0.0691673133662288
"beta_x_common1_y1","1001",19.9526231496888,"pBIC",-2.27676755154163,0.322137778220235,0.0421392495281728,"***","***",0.130811262686997
