"region","time","y1_obs","y1_pred","y1_resid","y1_resid_reduced","y2_obs","y2_pred","y2_resid","y2_resid_reduced"
1,2,-0.78636453443889,-0.81932904396662,0.03296450952773,0.03296450952773,-0.551958521647312,-0.552468441301409,0.000509919654097524,0.000509919654097524
2,2,-0.957386950530313,-0.901459462597046,-0.0559274879332672,-0.0559274879332672,1.23225719058265,1.15740196977465,0.0748552208079996,0.0748552208079996
3,2,-0.504964149505079,-0.41147973112732,-0.0934844183777597,-0.0934844183777597,1.66687383843354,1.4662912184658,0.200582619967733,0.200582619967733
4,2,-0.598848858635386,-0.689451390361004,0.0906025317256184,0.0906025317256184,1.19413292322731,1.20578955766252,-0.011656634435208,-0.011656634435208
5,2,-1.4667749331765,-1.46914602827657,0.00237109510006395,0.00237109510006395,0.603969264566629,0.650281081313436,-0.0463118167468071,-0.0463118167468071
6,2,-1.35804629030532,-1.38089899136574,0.0228527010604194,0.0228527010604194,0.988261879508466,0.902787329291836,0.0854745502166304,0.0854745502166304
7,2,-1.69463565966033,-1.63646985053808,-0.0581658091222492,-0.0581658091222492,0.998936674367962,0.942014538122202,0.0569221362457595,0.0569221362457595
8,2,-0.539980608586113,-0.541358066734317,0.00137745814820489,0.00137745814820489,1.94899341686306,2.00383027010947,-0.0548368532464047,-0.0548368532464047
9,2,-0.803999635207961,-0.764773400764044,-0.0392262344439175,-0.0392262344439175,1.51590173970639,1.34108593923334,0.174815800473047,0.174815800473047
10,2,-0.997985743667743,-1.0952472072316,0.0972614635638542,0.0972614635638542,2.48730807192048,2.49057008793278,-0.00326201601230336,-0.00326201601230336
11,2,0.43768907865462,0.327291654938968,0.110397423715652,0.110397423715652,0.501796228054315,0.427031586253883,0.0747646418004321,0.0747646418004321
12,2,-0.71937652576213,-0.644063942267825,-0.0753125834943049,-0.0753125834943049,2.24178779015208,2.0271366656117,0.214651124540377,0.214651124540377
13,2,-0.347770697326093,-0.250631446067293,-0.0971392512588004,-0.0971392512588004,1.29783093043384,1.30845379706423,-0.0106228666303985,-0.0106228666303985
14,2,-0.228892356170556,-0.225426853289739,-0.00346550288081734,-0.00346550288081734,2.30126164722641,2.23237697512233,0.0688846721040823,0.0688846721040823
15,2,-0.549115337042034,-0.696444037499324,0.14732870045729,0.14732870045729,2.59863093259807,2.87893758354774,-0.280306650949663,-0.280306650949663
16,2,-1.32632848316671,-1.1964393055265,-0.129889177640211,-0.129889177640211,2.29363679375534,2.64919221543738,-0.355555421682032,-0.355555421682032
17,2,-0.589079774036692,-0.48839714543176,-0.100682628604932,-0.100682628604932,1.59367524511128,1.72770682394499,-0.134031578833711,-0.134031578833711
18,2,0.107062657041676,0.135505552727252,-0.0284428956855764,-0.0284428956855764,1.78124664049956,1.80708699532375,-0.0258403548241859,-0.0258403548241859
19,2,0.181028583288931,0.357526953069042,-0.17649836978011,-0.17649836978011,2.03439177573902,1.73784283724823,0.296548938490798,0.296548938490798
20,2,-0.69806215936498,-0.579970417921265,-0.118091741443715,-0.118091741443715,-0.92405137103544,-1.01010446810841,0.0860530970729694,0.0860530970729694
21,2,-0.346248242583439,-0.101431725135453,-0.244816517447986,-0.244816517447986,0.472821784864256,0.245965193088802,0.226856591775454,0.226856591775454
22,2,-0.0992299605878896,0.126883763022972,-0.226113723610862,-0.226113723610862,-0.466560162771348,-0.669029675959601,0.202469513188254,0.202469513188254
23,2,0.788741768064834,0.934482431729909,-0.145740663665075,-0.145740663665075,0.986736908814253,0.644630486378686,0.342106422435567,0.342106422435567
