"scope","n","dgp","paramset","prop1_pass_rate","prop1_min_sv_min","prop1_min_sv_median","prop2_min_eig","W_symmetric"
"W",100,NA,NA,NA,NA,NA,0.0515360169491523,FALSE
"cell",100,"0111","mid",1,0.228620470227092,0.373713554460778,NA,NA
"cell",100,"1011","mid",1,0.178656904869297,0.302747838651198,NA,NA
"cell",100,"1111","mid",1,0.154626409514607,0.312041968399304,NA,NA
"cell",100,"0111","realistic",1,0.00963289302358656,0.0114791295986551,NA,NA
"cell",100,"1011","realistic",1,0.00969704918743991,0.0115044787035767,NA,NA
"cell",100,"1111","realistic",1,0.00863524551752931,0.0115969970598997,NA,NA
"cell",100,"0111","strong",1,0.239133886583633,0.37816994812396,NA,NA
"cell",100,"1011","strong",1,0.0532129961772052,0.116889822727126,NA,NA
"cell",100,"1111","strong",1,0.0481824313770059,0.11411656049404,NA,NA
"cell",100,"0111","weak",1,0.233109466485092,0.368161160433349,NA,NA
"cell",100,"1011","weak",1,0.205299951555859,0.356333458847309,NA,NA
"cell",100,"1111","weak",1,0.207105605379282,0.358538878649447,NA,NA
