"dgp","paramset","n","rep","seed","selected_pAIC","selected_pBIC","true_model","hit_pAIC","hit_pBIC","n_models_ok","pAIC_1111","pBIC_1111","pAIC_0111","pBIC_0111","pAIC_1011","pBIC_1011","pAIC_1101","pBIC_1101","pAIC_0101","pBIC_0101","pAIC_1001","pBIC_1001","pAIC_0011","pBIC_0011","pAIC_000d","pBIC_000d","pAIC_d0dd","pBIC_d0dd","pAIC_0ddd","pBIC_0ddd","pAIC_dddd","pBIC_dddd"
"1111","weak",100,23,31360734,"1011","1011","1111",0,0,11,101.39260947991,156.605153926729,104.814872622988,158.141256223602,100.593293268374,156.069545858502,249.121240245968,288.419614333841,244.219224569368,286.271290218883,250.127978581232,288.296549647422,108.709206005862,158.183966504082,300.743139136207,333.726312801687,113.022799451382,159.199242583054,116.629784265548,162.806227397221,115.920582857728,168.693660722496
"1111","weak",100,24,31360735,"1111","d0dd","1111",1,0,11,82.4035775168418,144.771363783711,104.158772905601,158.468768267044,86.6882392966681,144.361672449021,273.614437337366,321.0558991238,286.874056217573,326.646526489428,274.259848734886,319.576825175022,110.109822441252,159.584582939473,362.173519688017,395.156693353497,92.8029664956231,138.979409627296,123.384359719647,169.56080285132,93.8546661119543,146.627743976723
"1111","weak",100,25,31360736,"1111","1111","1111",1,1,11,146.993947673707,206.96359187234,152.761526244767,207.007390273824,150.839496866322,206.970504465816,270.646393095396,309.515970073827,270.761516938478,307.495896775102,270.426519687715,308.918428601579,158.06318938741,207.537949885631,324.320539196582,357.303712862063,162.376109797362,208.552552929035,165.23172058129,211.408163712963,163.571647281679,216.344725146448
"1111","weak",100,26,31360737,"1111","d0dd","1111",1,0,11,106.117526145678,162.170624198777,108.072018217636,162.039910146582,106.362879655399,162.203759236114,246.812696021346,286.7363857375,244.41341757477,284.291651727592,248.592656437984,286.997092719229,113.193780964957,162.668541463177,287.825924700053,320.809098365534,112.304343680895,158.480786812567,114.359052961721,160.535496093393,114.059362583415,166.832440448184
"1111","weak",100,27,31360738,"1011","d0dd","1111",0,0,11,107.575452740075,163.596950552173,113.923171950798,167.480549798365,107.530693555516,163.463535210466,247.932311063005,288.975213453488,246.978931653681,287.523621950377,248.342669800549,288.808927770663,118.790021535363,168.264782033583,281.776085079561,314.759258745042,115.96947777962,162.145920911292,122.724473359592,168.900916491264,118.019299811306,170.792377676074
"1111","weak",100,28,31360739,"1011","1011","1111",0,0,11,108.677406161924,165.835787983294,119.543536433536,169.587638797396,107.53290099915,165.202373531162,271.349319591525,312.572365118953,274.892474990849,311.531523118111,271.125083608049,312.184308464635,119.841694652303,169.316455150523,321.236899898281,354.220073563762,128.890636157739,175.067079289412,143.919192407939,190.095635539611,132.327028135563,185.100106000331
"1111","weak",100,29,31360740,"1111","1111","1111",1,1,11,87.976738770144,149.667465393569,107.605007123891,160.670043105906,93.427014845865,150.034758791334,273.180418645714,312.235959013837,275.828946462735,312.687087844787,272.905837759861,311.529804768648,111.15724221856,160.63200271678,342.08744708067,375.070620746151,118.144294559787,164.320737691459,136.373480804123,182.549923935795,112.08246462905,164.855542493819
"1111","weak",100,30,31360741,"1011","d0dd","1111",0,0,11,104.306688529035,162.033633207564,118.008234532979,168.822217169138,103.39062549262,161.123828225273,234.333054413591,277.995866682158,234.389379047654,275.515042743746,236.430518742277,278.548528663707,119.197331030259,168.672091528479,275.943340687025,308.926514352506,110.00325958725,156.179702718922,129.020959093616,175.197402225289,113.924945655706,166.698023520474
"1111","weak",100,31,31360742,"0111","0011","1111",0,0,11,100.682567253423,153.070710024386,100.328911176635,150.600357173481,100.747520920712,152.896987540112,263.524704589256,305.054032307359,264.84268474917,303.17864088321,267.021668066941,304.93296550471,100.930159524434,150.404920022655,320.289112666558,353.272286332038,110.838208082048,157.014651213721,112.643434272624,158.819877404296,112.179468444626,164.952546309395
"1111","weak",100,32,31360743,"1011","1011","1111",0,0,11,101.802140779914,158.436876684065,112.611019967362,163.941198851584,100.900869434525,157.345516973609,256.194916921782,294.906101810816,254.550913893779,292.336232862873,256.266452913935,294.50813291079,114.286637994664,163.761398492884,313.64114587348,346.62431953896,120.498742296808,166.67518542848,134.37712475074,180.553567882413,123.397893391328,176.170971256096
"1111","weak",100,33,31360744,"1111","d0dd","1111",1,0,11,93.4577288335715,150.397803798789,113.245977488399,167.398349671598,93.5917415973589,149.737955909162,275.805063836388,319.022422307588,279.692127590151,320.70284683,276.588802604933,318.720632478611,118.821437131603,168.296197629823,323.749508352356,356.732682017836,98.666769101395,144.843212233068,119.803182948322,165.979626079994,99.2506796527715,152.02375751754
"1111","weak",100,34,31360745,"1111","1011","1111",1,0,11,137.450773427742,194.647750351146,143.930639697355,195.835887192005,137.502097574761,194.438491189799,253.038390222747,295.454195771855,256.609694602642,293.319682938605,253.122304438468,294.983921532173,146.327275601082,195.802036099302,321.485292154942,354.468465820423,153.591505497848,199.767948629521,165.821210431732,211.997653563404,156.327161519599,209.100239384367
"1111","weak",100,35,31360746,"1111","d0dd","1111",1,0,11,85.635062053036,144.912726549873,105.102986316266,160.487234872402,86.8261196581081,144.593096790378,287.418337547714,335.524315218257,292.351596131636,335.761120123154,290.181010212594,335.094254198639,114.767255278062,164.242015776282,386.137271997785,419.120445663265,89.7912618237509,135.967704955423,118.353177578509,164.529620710181,89.9578998129653,142.730977677734
"1111","weak",100,36,31360747,"1011","1011","1111",0,0,11,73.4127190118633,132.13481383661,81.7238658706407,137.595140166876,72.0071753724086,131.479771084627,263.664680005399,305.447040390918,266.787807566953,304.639589925392,262.060272693078,305.149576658431,90.2469379616631,139.721698459884,319.350703685226,352.333877350706,88.5864011724803,134.762844304153,87.3988891804361,133.575332312109,85.0915333218991,137.864611186668
"1111","weak",100,37,31360748,"1111","d0dd","1111",1,0,11,101.042232248209,164.74105200289,126.121099368468,183.249622217041,103.122619312545,163.068462330004,271.664221930558,320.107419049066,278.417337226429,321.138528985813,273.210915158983,318.960035828149,142.551790419153,192.026550917374,341.577522935719,374.5606966012,115.191085325182,161.367528456855,145.335152969219,191.511596100891,116.677849028046,169.450926892814
"1111","weak",100,38,31360749,"1111","1111","1111",1,1,11,106.122393561319,156.545638186957,119.395485985684,173.957905754105,115.930141384453,172.851608614437,264.288113382571,307.997288665434,270.200194512258,307.85254418749,262.291411520938,306.581288092206,125.218173348926,174.692933847146,332.533945262424,365.517118927904,133.01052739109,179.186970522762,138.203847349544,184.380290481216,134.089995969968,186.863073834737
"1111","weak",100,39,31360750,"1011","1011","1111",0,0,11,105.190481843736,160.747390622091,116.178530698131,169.367686088371,104.957798604419,160.440130143479,270.356063947621,311.756511245124,270.555006727574,312.422190404504,271.838385061098,311.611783651972,120.016474706115,169.491235204335,337.543586415348,370.526760080829,129.855349312255,176.031792443928,131.210699752394,177.387142884067,130.718342633105,183.491420497873
"1111","weak",100,40,31360751,"1111","d0dd","1111",1,0,11,125.077429234912,177.754847811325,125.267476425241,175.549831999583,125.183094262712,177.566524832778,281.934537737711,323.476820131059,287.670527364043,324.318123089685,280.484798346507,322.549363294667,125.903467653341,175.378228151561,315.213594373881,348.196768039361,126.465394591197,172.64183772287,127.753912135735,173.930355267407,129.585651241903,182.358729106671
"1111","weak",100,41,31360752,"1011","1011","1111",0,0,11,111.739342470029,168.844551019023,122.258347623552,172.074820345762,110.902115746921,167.822557258366,280.299652387371,318.726077413246,279.987775810279,316.679820060969,280.237206399324,318.317802797307,122.219946768053,171.694707266273,348.785295448405,381.768469113886,123.989811100166,170.166254231839,139.548734947341,185.725178079014,126.428736299251,179.20181416402
"1111","weak",100,42,31360753,"1011","0011","1111",0,0,11,81.969694235578,136.063184677057,85.1200969616764,135.37923067261,81.9008700104425,135.799316301237,247.584959814989,286.983469590008,247.983093865635,284.810927276185,247.245186467476,286.468875181293,85.7055549963564,135.180315494577,309.559935548131,342.543109213611,89.4296563504729,135.606099482145,96.867173751431,143.043616883103,92.013688540524,144.786766405293
"1111","weak",100,43,31360754,"1111","0011","1111",1,0,11,112.208177721757,167.897106072422,117.356518846711,167.115828389854,112.327901746455,167.631751516434,286.860732576695,326.432643187225,288.67630737246,325.494766878026,287.023396560136,325.994826322512,117.381310808097,166.856071306317,343.237112384648,376.220286050128,125.324007548365,171.500450680038,133.766795094418,179.943238226091,129.288830302656,182.061908167425
"1111","weak",100,44,31360755,"d0dd","d0dd","1111",0,0,11,132.286582947001,184.476600498563,132.026132349047,181.760809791284,132.14756387461,184.093744678521,273.453209707311,311.809233758898,269.901896551307,309.82618531496,273.974944949859,311.82576069671,131.890300745456,181.365061243677,306.335378735262,339.318552400742,131.451191105421,177.627634237094,134.156376833528,180.332819965201,135.336380576991,188.10945844176
"1111","weak",100,45,31360756,"1111","d0dd","1111",1,0,11,89.2644913051652,148.491103421607,111.966375105049,161.666718280154,92.3684791756673,148.443657945092,272.411161504793,313.944961187612,276.915957134318,313.57647461313,272.842108729072,313.716257106883,111.96596062444,161.44072112266,312.555611912411,345.538785577892,100.042847458899,146.219290590572,122.925103872401,169.101547004074,98.7073197496059,151.480397614374
"1111","weak",100,46,31360757,"1111","1111","1111",1,1,11,105.402302159118,163.140755528357,108.573387797952,163.256823129699,107.553047136897,163.524449921533,287.810910346466,327.131101099551,288.205788460098,326.49401884761,287.294336536744,326.779434570979,115.684220709729,165.158981207949,348.092159328255,381.075332993735,118.918089179936,165.094532311608,126.095680003201,172.272123134874,121.564823117097,174.337900981865
