"region","time","y1_obs","y1_pred","y1_resid","y1_resid_reduced","y2_obs","y2_pred","y2_resid","y2_resid_reduced"
1,2,-0.78636453443889,-0.822357020601895,0.0264257601641296,0.0359924861630051,-0.551958521647312,-0.559080172846001,-0.0281344492312815,0.00712165119868913
2,2,-0.957386950530313,-0.909875269318011,-0.0200322522523275,-0.0475116812123026,1.23225719058265,1.11439327566757,0.089589254880369,0.117863914915083
3,2,-0.504964149505079,-0.419978066412242,-0.078601544512679,-0.0849860830928377,1.66687383843354,1.43796648946383,0.196041763951806,0.228907348969706
4,2,-0.598848858635386,-0.687274691217762,0.0769424174136597,0.0884258325823759,1.19413292322731,1.17524246464099,-0.0161821456341323,0.018890458586323
5,2,-1.4667749331765,-1.47713122897199,0.00731302807294131,0.0103562957954886,0.603969264566629,0.610028024902494,-0.0430397207817109,-0.00605876033586561
6,2,-1.35804629030532,-1.38238938390391,0.0280427814737072,0.0243430935985816,0.988261879508466,0.85849771538524,0.0939103167538348,0.129764164123226
7,2,-1.69463565966033,-1.65294102519728,-0.0549200448764942,-0.0416946344630436,0.998936674367962,0.885471443801832,0.0855516030717929,0.11346523056613
8,2,-0.539980608586113,-0.551072798958536,-0.0339029589011857,0.0110921903724233,1.94899341686306,1.96706589083901,-0.0259425855875129,-0.0180724739759484
9,2,-0.803999635207961,-0.769129861795766,-0.0650457237943944,-0.034869773412195,1.51590173970639,1.30680213198961,0.200200042054544,0.209099607716781
10,2,-0.997985743667743,-1.11309081621722,0.105061111421579,0.115105072549478,2.48730807192048,2.43122692562703,0.0450395293204973,0.0560811462934447
11,2,0.43768907865462,0.333593052934467,0.121457321336134,0.104096025720153,0.501796228054315,0.412690893220568,0.0367333023275047,0.0891053348337467
12,2,-0.71937652576213,-0.654846331852317,-0.0560233407168188,-0.064530193909813,2.24178779015208,1.98528694057742,0.254028582353657,0.256500849574662
13,2,-0.347770697326093,-0.252079101902678,-0.0418357851295897,-0.0956915954234155,1.29783093043384,1.28230910683688,-0.0817570058081746,0.0155218235969525
14,2,-0.228892356170556,-0.229591121217299,0.0137849698007216,0.000698765046742877,2.30126164722641,2.20206556403751,0.0463664037926779,0.0991960831889012
15,2,-0.549115337042034,-0.69661733176033,0.136215394561305,0.147501994718296,2.59863093259807,2.80345830446401,-0.251136433293209,-0.204827371865936
16,2,-1.32632848316671,-1.20192374288056,-0.081313585194943,-0.124404740286148,2.29363679375534,2.57941534997834,-0.341212344211898,-0.285778556222994
17,2,-0.589079774036692,-0.489814585697495,-0.066102002777646,-0.0992651883391972,1.59367524511128,1.67307553117526,-0.0573600664125379,-0.0794002860639818
18,2,0.107062657041676,0.138280886956671,0.0261544755033724,-0.0312182299149959,1.78124664049956,1.76253829277672,0.0115664400399865,0.0187083477228418
19,2,0.181028583288931,0.378414123780335,-0.161793216919959,-0.197385540491403,2.03439177573902,1.72261181784032,0.300894760292725,0.311779957898703
20,2,-0.69806215936498,-0.593257517018746,-0.104004374375163,-0.104804642346234,-0.92405137103544,-0.985258376364777,0.025008322601815,0.061207005329337
21,2,-0.346248242583439,-0.101488610878578,-0.211611309111544,-0.244759631704861,0.472821784864256,0.223493337005754,0.205101922940951,0.249328447858501
22,2,-0.0992299605878896,0.125402016384961,-0.155393014774858,-0.224631976972851,-0.466560162771348,-0.675048155953138,0.135059463965281,0.20848799318179
23,2,0.788741768064834,0.945905523619079,-0.0907106905994887,-0.157163755554244,0.986736908814253,0.659870847080719,0.223972275745344,0.326866061733534
24,2,-0.316814117558803,-0.427473820223797,0.114813642544614,0.110659702664994,-0.213415027531883,-0.375088329181597,0.148361528789747,0.161673301649714
25,2,1.3684164113302,1.39060283777444,0.0569775877059317,-0.0221864264442415,-1.1314473854485,-1.05234405103819,-0.118371532613223,-0.0791033344103027
26,2,-0.294738523790325,-0.465010279743062,0.112491083941919,0.170271755952736,-0.158516082540192,-0.138608436124844,-0.0237445070048254,-0.0199076464153484
27,2,0.15260942809273,0.142941372864011,-0.00423802383256535,0.00966805522871911,-0.105142108242715,-0.0485946338293894,-0.109987775078115,-0.0565474744133251
