"selected_by","selected_gamma","selected_gamma_index","gamma_grid_points","RMSE","n_parameters_compared","best_optimizer_convergence_zero_count","selected_optim_converged","selected_optim_convergence_code","total_multistart_attempts","total_successful_starts","total_converged_starts","retry_used_count"
"pAIC",31.6227766016838,9,14,0.0740141850871781,24,14,TRUE,0,235,235,235,0
"pBIC",100,10,14,0.0690162366952703,24,14,TRUE,0,235,235,235,0
