"gamma","logLik","deff","deff_exact_computed","hessian_ok","hessian_error","free_spatial_param_count","beta_sigma_count","nominal_param_count","pAIC","pAIC_lower_bound","pAIC_upper_bound","pBIC","pBIC_lower_bound","pBIC_upper_bound","AIC","BIC","optim_convergence","best_optim_converged","n_starts","n_successful_starts","n_converged_starts","retry_used"
0,-201.029294333305,23,TRUE,TRUE,"",8,15,23,448.05858866661,432.05858866661,448.05858866661,555.804658402972,502.327764581629,555.804658402972,448.05858866661,555.804658402972,0,TRUE,14,14,14,FALSE
0.01,-201.029297354617,22.9972281082759,TRUE,TRUE,"",8,15,23,448.053050925786,432.058594709235,448.058594709235,555.78613542567,502.327770624253,555.804664445597,448.058594709235,555.804664445597,0,TRUE,17,17,17,FALSE
0.0316227766016838,-201.029324410469,22.9912266400109,TRUE,TRUE,"",8,15,23,448.04110210096,432.058648820938,448.058648820938,555.746072052226,502.327824735957,555.8047185573,448.058648820938,555.8047185573,0,TRUE,17,17,17,FALSE
0.1,-201.029588443755,22.9721873890543,TRUE,TRUE,"",8,15,23,448.003551665619,432.05917688751,448.05917688751,555.619330118568,502.328352802529,555.805246623872,448.05917688751,555.805246623872,0,TRUE,17,17,17,FALSE
0.316227766016838,-201.032029204288,22.9116759000309,TRUE,TRUE,"",8,15,23,447.887410208638,432.064058408576,448.064058408576,555.21971583045,502.333234323595,555.810128144939,448.064058408576,555.810128144939,0,TRUE,17,17,17,FALSE
1,-201.050635019765,22.7269520365083,TRUE,TRUE,"",8,15,23,447.555174112546,432.101270039529,448.101270039529,554.022120156919,502.370445954548,555.847339775891,448.101270039529,555.847339775891,0,TRUE,17,17,17,FALSE
3.16227766016838,-201.127898741237,22.3405925933908,TRUE,TRUE,"",8,15,23,446.936982669255,432.255797482473,448.255797482473,551.593984735305,502.524973397492,556.001867218836,448.255797482473,556.001867218836,0,TRUE,17,17,17,FALSE
10,-201.265635099455,21.9313033634414,TRUE,TRUE,"",8,15,23,446.393876925792,432.531270198909,448.531270198909,549.133517865212,502.800446113928,556.277339935271,448.531270198909,556.277339935271,0,TRUE,17,17,17,FALSE
31.6227766016838,-201.690575222895,21.3040123125144,TRUE,TRUE,"",8,15,23,445.989175070819,433.381150445791,449.381150445791,545.790200996406,503.650326360809,557.127220182153,449.381150445791,557.127220182153,0,TRUE,17,17,17,FALSE
100,-203.936821331406,20.1528575620242,TRUE,TRUE,"",8,15,23,448.17935778686,437.873642662812,453.873642662812,542.58767066794,508.14281857783,561.619712399174,453.873642662812,561.619712399174,0,TRUE,17,17,17,FALSE
316.227766016838,-213.850754736889,18.6800660780185,TRUE,TRUE,"",8,15,23,465.061641629815,457.701509473778,473.701509473778,552.570498252513,527.970685388797,581.447579210141,473.701509473778,581.447579210141,0,TRUE,17,17,17,FALSE
1000,-248.329982113368,NA,FALSE,FALSE,"",8,15,23,NA,526.659964226736,542.659964226736,NA,596.929140141754,650.406033963098,542.659964226736,650.406033963098,0,TRUE,17,17,17,FALSE
3162.27766016838,-318.777620737648,NA,FALSE,FALSE,"",8,15,23,NA,667.555241475296,683.555241475296,NA,737.824417390315,791.301311211658,683.555241475296,791.301311211658,0,TRUE,17,17,17,FALSE
10000,-381.069839102334,NA,FALSE,FALSE,"",8,15,23,NA,792.139678204668,808.139678204668,NA,862.408854119687,915.885747941031,808.139678204668,915.885747941031,0,TRUE,17,17,17,FALSE
