"gamma","logLik","deff","deff_exact_computed","hessian_ok","hessian_error","free_spatial_param_count","beta_sigma_count","nominal_param_count","pAIC","pAIC_lower_bound","pAIC_upper_bound","pBIC","pBIC_lower_bound","pBIC_upper_bound","AIC","BIC","optim_convergence","best_optim_converged","n_starts","n_successful_starts","n_converged_starts","retry_used"
0,-271.850919310311,NA,FALSE,FALSE,"system is computationally singular: reciprocal condition number = 1.16988e-31",4,15,19,NA,573.701838620622,581.701838620622,NA,643.971014535641,670.709461446313,581.701838620622,670.709461446313,0,TRUE,9,9,9,FALSE
0.01,-271.85092079967,NA,FALSE,FALSE,"system is computationally singular: reciprocal condition number = 1.50508e-16",4,15,19,NA,573.701841599339,581.701841599339,NA,643.971017514358,670.70946442503,581.701841599339,670.70946442503,0,TRUE,12,12,12,FALSE
0.0316227766016838,-271.850934280356,NA,FALSE,FALSE,"system is computationally singular: reciprocal condition number = 9.33369e-32",4,15,19,NA,573.701868560713,581.701868560713,NA,643.971044475732,670.709491386404,581.701868560713,670.709491386404,0,TRUE,12,12,12,FALSE
0.1,-271.85106902752,NA,FALSE,FALSE,"system is computationally singular: reciprocal condition number = 1.85581e-31",4,15,19,NA,573.70213805504,581.70213805504,NA,643.971313970059,670.70976088073,581.70213805504,670.70976088073,0,TRUE,12,12,12,FALSE
0.316227766016838,-271.852412086408,NA,FALSE,FALSE,"system is computationally singular: reciprocal condition number = 4.55384e-31",4,15,19,NA,573.704824172816,581.704824172816,NA,643.974000087834,670.712446998506,581.704824172816,670.712446998506,0,TRUE,12,12,12,FALSE
1,-271.865627309506,NA,FALSE,FALSE,"system is computationally singular: reciprocal condition number = 1.44173e-16",4,15,19,NA,573.731254619012,581.731254619012,NA,644.000430534031,670.738877444703,581.731254619012,670.738877444703,0,TRUE,12,12,12,FALSE
3.16227766016838,-271.987907297986,18.8197733311549,TRUE,TRUE,"",4,15,19,581.615361258281,573.975814595972,581.975814595972,669.778692117462,644.244990510991,670.983437421662,581.975814595972,670.983437421662,0,TRUE,12,12,12,FALSE
10,-272.595041794543,18.3792409743485,TRUE,TRUE,"",4,15,19,581.948565537783,575.190083589086,583.190083589086,668.048173351851,645.459259504105,672.197706414777,583.190083589086,672.197706414777,0,TRUE,12,12,12,FALSE
31.6227766016838,-273.842544748755,18.2602624027413,TRUE,TRUE,"",4,15,19,584.205614302992,577.685089497509,585.685089497509,669.747853705168,647.954265412528,674.6927123232,585.685089497509,674.6927123232,0,TRUE,12,12,12,FALSE
100,-282.949026551852,17.6899812818065,TRUE,TRUE,"",4,15,19,601.278015667316,595.898053103703,603.898053103703,684.148709442293,666.167229018722,692.905675929394,603.898053103703,692.905675929394,0,TRUE,12,12,12,FALSE
316.227766016838,-327.519543120829,NA,FALSE,FALSE,"",4,15,19,NA,685.039086241659,693.039086241659,NA,755.308262156678,782.046709067349,693.039086241659,782.046709067349,0,TRUE,12,12,12,FALSE
1000,-382.939009959613,NA,FALSE,FALSE,"",4,15,19,NA,795.878019919227,803.878019919227,NA,866.147195834246,892.885642744918,803.878019919227,892.885642744918,0,TRUE,12,12,12,FALSE
3162.27766016838,-407.359152643556,NA,FALSE,FALSE,"",4,15,19,NA,844.718305287112,852.718305287112,NA,914.987481202131,941.725928112803,852.718305287112,941.725928112803,0,TRUE,12,12,12,FALSE
10000,-415.598795817184,NA,FALSE,FALSE,"",4,15,19,NA,861.197591634369,869.197591634369,NA,931.466767549387,958.205214460059,869.197591634369,958.205214460059,0,TRUE,12,12,12,FALSE
