"gamma","loglik","penalty","AIC","BIC","df_eff","GIC_AIC","GIC_BIC","R11","R12","R21","R22","L11","L12","L21","L22"
0,-913.634688550098,0,1857.2693771002,1927.53855301522,15,1857.2693771002,1927.53855301522,,,,,0.984480931720168,-0.534630281581813,0.421639842479716,0.452637331160632
0.01,-913.634694334798,0.00816977460609284,1857.2693886696,1927.53856458462,14.9986505940163,1857.26668985763,1927.52954432955,,,,,0.983346056631935,-0.533647378661649,0.420791696353051,0.452924141168103
0.0316227766016838,-913.634755976248,0.0257414295950829,1857.2695119525,1927.53868786751,14.9957261739239,1857.26096430034,1927.5101189996,,,,,0.981535910801953,-0.532118054505864,0.419394023863194,0.453406263310809
0.1,-913.635328155561,0.0805118535616449,1857.27065631112,1927.53983222614,14.9864270776276,1857.24351046638,1927.44910251007,,,,,0.976069026165158,-0.527504519864675,0.415176566705409,0.454855721493031
0.316227766016838,-913.64120787265,0.24552703672568,1857.2824157453,1927.55159166032,14.9563927251369,1857.19520119557,1927.26009395936,,,,,0.958178594870592,-0.512253002528214,0.401256293952589,0.459710076794057
0.354813389233575,-913.64286837966,0.273719470539257,1857.28573675932,1927.55491267434,14.9509347273181,1857.18760621396,1927.22693037715,,,,,0.955028131538285,-0.509555502350932,0.398791567937339,0.460578235245251
0.398107170553497,-913.644941816129,0.304914302924125,1857.28988363226,1927.55905954728,14.9447752072117,1857.17943404668,1927.18990324975,,,,,0.951508368123224,-0.506536467499986,0.396033402194567,0.461552139424067
0.446683592150963,-913.647527915969,0.339372195507214,1857.29505583194,1927.56423174696,14.9378193548898,1857.17069454172,1927.14857827742,,,,,0.947577591952131,-0.50315816754707,0.392947471016243,0.462644860050888
0.501187233627272,-913.650749548191,0.377361094795126,1857.30149909638,1927.5706750114,14.929958406268,1857.16141590892,1927.10247415251,,,,,0.943189634971693,-0.499378471638882,0.389495463230439,0.463871190988094
0.562341325190349,-913.654757720322,0.41915185433826,1857.30951544064,1927.57869135566,14.9210673355824,1857.15165011181,1927.0510571414,,,,,0.938293483726108,-0.495150355560006,0.385634635485286,0.465247908322841
0.630957344480193,-913.659737448587,0.465012440866964,1857.31947489717,1927.58865081219,14.9110021348269,1857.14147916683,1926.99373463892,,,,,0.932832947451661,-0.490421412016361,0.381317370828388,0.466794063124849
0.707945784384138,-913.665914451028,0.515200610389616,1857.33182890206,1927.60100481707,14.8995966422828,1857.13102218662,1926.92984735458,,,,,0.926746487242527,-0.48513343956816,0.376490815459246,0.468531290787519
0.794328234724281,-913.67356240456,0.569955141759363,1857.34712480912,1927.61630072414,14.8866589172815,1857.12044264368,1926.85865959337,,,,,0.919967385996587,-0.479222255472095,0.371096732390985,0.470484087784908
0.891250938133746,-913.683010144005,0.629486075269064,1857.36602028801,1927.63519620303,14.8719672937699,1857.10995487555,1926.77934727344,,,,,0.912424516815191,-0.472617961480768,0.36507178640391,0.472679955919643
1,-913.694647769367,0.693964831205238,1857.38929553873,1927.65847145375,14.8552664328005,1857.09982840434,1926.69098375306,,,,,0.904043940796175,-0.465245904884351,0.358348476191993,0.475149274564759
1.12201845430196,-913.708930610278,0.763515146857612,1857.41786122056,1927.68703713558,14.8362639572655,1857.09038913509,1926.59252526407,,,,,0.89475122023382,-0.457028318548753,0.350856670226669,0.477924835852235
1.25892541179417,-913.726380960916,0.838204904870534,1857.45276192183,1927.72193783685,14.8146283133442,1857.08201854852,1926.48280008625,,,,,0.884473637199015,-0.447885988889343,0.342525111059038,0.481041286374305
1.41253754462275,-913.747588606421,0.91803800407706,1857.49517721284,1927.76435312786,14.7899884698286,1857.0751541525,1926.36050759033,,,,,0.873141318975942,-0.437738975262633,0.333281985893632,0.484535049602538
1.58489319246111,-913.773209367661,1.00294752256381,1857.54641873532,1927.81559465034,14.7619365199344,1857.07029177519,1926.22423271956,,,,,0.860687771549901,-0.426506606912734,0.323054788278321,0.488444970200747
1.77827941003892,-913.803955650093,1.09279710199458,1857.60791130019,1927.8770872152,14.7300365036372,1857.06798430746,1926.07248606138,,,,,0.847052360876063,-0.41410898230312,0.311771590676297,0.492812809246008
1.99526231496888,-913.840569075132,1.18740199385641,1857.68113815026,1927.95031406528,14.6938463340184,1857.0688308183,1925.90379567919,,,,,0.832187255590853,-0.400472555244568,0.299366347098777,0.497681962061702
2.23872113856834,-913.883767072575,1.28658021878028,1857.76753414515,1928.03671006017,14.6529626134098,1857.07345937197,1925.71689987583,,,,,0.816069001959594,-0.385540635732171,0.285788940057348,0.50309346190454
2.51188643150958,-913.934161995122,1.39023856408378,1857.86832399024,1928.13749990526,14.6069442133991,1857.08221241704,1925.51007458452,,,,,0.798712435439822,-0.369287440281738,0.271018112655329,0.509079853088092
2.81838293126445,-913.992104739124,1.49854558539243,1857.98420947825,1928.25338539327,14.5562350562294,1857.09667959071,1925.28698904581,,,,,0.780201336713382,-0.3517538235107,0.255091857964174,0.515646528141949
3.16227766016838,-914.057769681946,1.61187932998981,1858.11553936389,1928.38471527891,14.500629093997,1857.11679755189,1925.04661466419,,,,,0.760634169187181,-0.332983702496569,0.238056475294489,0.522808404991503
3.54813389233576,-914.130715394334,1.73131883045223,1858.26143078867,1928.53060670369,14.4412006036533,1857.14383199598,1924.79524970545,,,,,0.740239396609592,-0.313165476555689,0.220082569547382,0.530509727193383
3.98107170553497,-914.210007613689,1.85859357890841,1858.42001522738,1928.6891911424,14.3795252460677,1857.17906571951,1924.54155832554,,,,,0.719307797593784,-0.292560252178587,0.201408700187182,0.538659934620224
4.46683592150963,-914.294139639871,1.99625080510203,1858.58827927974,1928.85745519476,14.3178089275033,1857.22389713475,1924.29727275104,,,,,0.698204896281419,-0.271523445711732,0.182354802806873,0.547121048931536
5.01187233627272,-914.381219125739,2.1475597700983,1858.76243825148,1929.0316141665,14.258761557796,1857.27996136707,1924.07672298274,,,,,0.677331432456628,-0.250483762567331,0.163312859354638,0.555695906903994
5.62341325190349,-914.469165230736,2.31639216049576,1858.93833046147,1929.20750637649,14.204932266691,1857.34819499485,1923.89278728212,,,,,0.657091792165651,-0.22990109728758,0.144694086182459,0.564161307141284
6.30957344480193,-914.556125511312,2.506853278957,1859.11225102262,1929.38142693764,14.1582743947603,1857.42879981215,1923.75481808538,,,,,0.637829676519685,-0.210210831279158,0.126887690478874,0.57227892100986
7.07945784384138,-914.640769127003,2.72300015214092,1859.28153825401,1929.55071416902,14.1196435670485,1857.5208253881,1923.66587323279,,,,,0.619791028634887,-0.191764436804835,0.110208312370353,0.579834113576992
7.94328234724282,-914.722464167032,2.96864377611733,1859.44492833406,1929.71410424908,14.0888027124754,1857.62253375901,1923.62310417468,,,,,0.603111800700301,-0.174811244398646,0.094877645409025,0.586647794467188
8.91250938133745,-914.801418922594,3.24716956774354,1859.60283784519,1929.87201376021,14.0646370563019,1857.73211195779,1923.61947565714,,,,,0.587804051959788,-0.159468685194867,0.0809962884231698,0.59259815394139
10,-914.878510227177,3.56166782360372,1859.75702045435,1930.02619636937,14.0455817840911,1857.84818402254,1923.64628117021,,,,,0.573800088146503,-0.145759668327336,0.0685818341257747,0.597609968692673
11.2201845430196,-914.955228669189,3.91495405767381,1859.91045733838,1930.1796332534,14.0299703622379,1857.97039806285,1923.69536176063,,,,,0.560969066532213,-0.133627486784159,0.0575799518771983,0.601650434755935
