"parameter","model_id","gamma","criterion","estimate","se_psi","se_hessian","signif_psi","signif_hessian","SE_ratio"
"A[1,2]","1011",39.8107170553497,"pBIC",0.0239651550933724,0.0206682937739572,0.0212251280565568,"","",1.02694147319027
"A[2,1]","1011",39.8107170553497,"pBIC",0.0952246823791446,0.0137767649084217,0.0138525931668787,"***","***",1.00550406855028
"A[2,2]","1011",39.8107170553497,"pBIC",0.655379396946908,0.0208032978325093,0.0213216625082963,"***","***",1.02491742799437
"R[1,1]","1011",39.8107170553497,"pBIC",0.40467662291361,0.0173570317044697,0.0269964238494385,"***","***",1.55535948249069
"R[1,2]","1011",39.8107170553497,"pBIC",-0.155395437486243,0.0250070720865525,0.0338180590485102,"***","***",1.35233980737376
"R[2,1]","1011",39.8107170553497,"pBIC",0.0339442036620511,0.0175390983050184,0.0269587326331939,".","",1.53706491430522
"R[2,2]","1011",39.8107170553497,"pBIC",0.388339118588149,0.0245327576177993,0.0327513712319256,"***","***",1.3350056989991
"Lambda[1,1]","1011",39.8107170553497,"pBIC",,,,"","",
"Lambda[1,2]","1011",39.8107170553497,"pBIC",,,,"","",
"Lambda[2,1]","1011",39.8107170553497,"pBIC",,,,"","",
"Lambda[2,2]","1011",39.8107170553497,"pBIC",,,,"","",
"Sigma[1,1]","1011",39.8107170553497,"pBIC",0.101718896244946,,,"","",
"Sigma[1,2]","1011",39.8107170553497,"pBIC",0.032889288250999,,,"","",
"Sigma[2,2]","1011",39.8107170553497,"pBIC",0.103035501062476,,,"","",
"beta_intercept_y1","1101",70.7945784384138,"pBIC",0.421451170437831,0.0569450289300101,0.062304820002387,"***","***",1.09412219421233
"beta_x_common1_y1","1101",70.7945784384138,"pBIC",1.09195121703295,0.0491202585450562,0.0492097550653164,"***","***",1.00182198797219
"beta_x_common2_y1","1101",70.7945784384138,"pBIC",-0.552208590263073,0.0486960764423151,0.0487166679049163,"***","***",1.0004228567085
"beta_x_specific1_1_y1","1101",70.7945784384138,"pBIC",0.801068649564477,0.0327513926993007,0.0328926310694209,"***","***",1.00431243860122
"beta_intercept_y2","1101",70.7945784384138,"pBIC",-0.0979006182653844,0.061300328333346,0.0666656312745439,"","",1.0875248646634
"beta_x_common1_y2","1101",70.7945784384138,"pBIC",0.769896983810057,0.0432814170945981,0.0435922699366878,"***","***",1.00718213180059
"beta_x_common2_y2","1101",70.7945784384138,"pBIC",-0.31075339253475,0.0428860186928777,0.0429394080247991,"***","***",1.00124491229423
"beta_x_specific2_1_y2","1101",70.7945784384138,"pBIC",0.510157866816085,0.0303664866334643,0.0304504244400321,"***","***",1.00276415930433
"A[1,1]","1101",70.7945784384138,"pBIC",,,,"","",
"A[1,2]","1101",70.7945784384138,"pBIC",,,,"","",
"A[2,1]","1101",70.7945784384138,"pBIC",,,,"","",
"A[2,2]","1101",70.7945784384138,"pBIC",,,,"","",
"R[1,1]","1101",70.7945784384138,"pBIC",0.284929389708557,0.0424810202526307,0.0412204830678158,"***","***",0.970327050119827
"R[1,2]","1101",70.7945784384138,"pBIC",-0.105198016054585,0.0471934677871644,0.0425392310993108,"*","*",0.901379642012249
"R[2,1]","1101",70.7945784384138,"pBIC",0.0505818104582303,0.0425980065788891,0.0427938375006557,"","",1.00459718511485
"R[2,2]","1101",70.7945784384138,"pBIC",0.279619918442668,0.0450227055614912,0.0411740317643011,"***","***",0.914517047583167
"Lambda[1,1]","1101",70.7945784384138,"pBIC",0.205526165574193,0.0467231874081209,0.045027953946663,"***","***",0.963717512535045
"Lambda[1,2]","1101",70.7945784384138,"pBIC",-0.0684395394969081,0.0435722584660707,0.0408236869700658,"",".",0.936919232723612
"Lambda[2,1]","1101",70.7945784384138,"pBIC",0.00256067835264441,0.0448359577816931,0.0433756236869078,"","",0.967429398923614
"Lambda[2,2]","1101",70.7945784384138,"pBIC",0.299096716391221,0.0457526277890481,0.0424699036211508,"***","***",0.928250587419089
"Sigma[1,1]","1101",70.7945784384138,"pBIC",0.930689408113316,,,"","",
"Sigma[1,2]","1101",70.7945784384138,"pBIC",0.609207763986546,,,"","",
"Sigma[2,2]","1101",70.7945784384138,"pBIC",0.734112803618375,,,"","",
"beta_intercept_y1","0101",8.91250938133745,"pBIC",0.607156608726911,0.0847405318660579,0.0847690528017134,"***","***",1.00033656781504
