"parameter","estimate.1111","se_psi.1111","se_hessian.1111","signif_psi.1111","signif_hessian.1111","estimate.0111","se_psi.0111","se_hessian.0111","signif_psi.0111","signif_hessian.0111","estimate.1011","se_psi.1011","se_hessian.1011","signif_psi.1011","signif_hessian.1011","estimate.1101","se_psi.1101","se_hessian.1101","signif_psi.1101","signif_hessian.1101","estimate.0101","se_psi.0101","se_hessian.0101","signif_psi.0101","signif_hessian.0101","estimate.1001","se_psi.1001","se_hessian.1001","signif_psi.1001","signif_hessian.1001","estimate.d0dd","se_psi.d0dd","se_hessian.d0dd","signif_psi.d0dd","signif_hessian.d0dd","estimate.0ddd","se_psi.0ddd","se_hessian.0ddd","signif_psi.0ddd","signif_hessian.0ddd","estimate.dddd","se_psi.dddd","se_hessian.dddd","signif_psi.dddd","signif_hessian.dddd","estimate.0011","se_psi.0011","se_hessian.0011","signif_psi.0011","signif_hessian.0011","estimate.000d","se_psi.000d","se_hessian.000d","signif_psi.000d","signif_hessian.000d"
"A[2,1]",0.095603438966956,0.0137894344258405,0.0138322777802386,"***","***",0.08730758604935,0.0144185621649103,0.0144673309344793,"***","***",0.0952246823791446,0.0137767649084217,0.0138525931668787,"***","***",,,,"","",,,,"","",,,,"","",,,,"","",,,,"","",,,,"","",0.0848728665414915,0.0188025859232688,,"***","",,,,"",""
"A[2,2]",0.65876223924985,0.0210244001279385,0.0212830185957868,"***","***",0.636197424896512,0.0227749505750747,0.023145051206413,"***","***",0.655379396946908,0.0208032978325093,0.0213216625082963,"***","***",,,,"","",,,,"","",,,,"","",0.753734170905695,0.0164296426147813,,"***","",0.731358342572173,0.0174237098113649,,"***","",0.757388422345114,0.0164239275990633,,"***","",0.725604690195709,0.0283937922017744,,"***","",,,,"",""
"R[1,1]",0.352001175335103,0.0197268689909435,0.0271613007495719,"***","***",,,,"","",0.40467662291361,0.0173570317044697,0.0269964238494385,"***","***",0.284929389708557,0.0424810202526307,0.0412204830678158,"***","***",,,,"","",0.412582539944066,0.0441746343734698,0.0536381312955601,"***","***",0.318168168410217,0.019573649990855,,"***","",,,,"","",0.285568192710232,0.0252538402556932,,"***","",,,,"","",,,,"",""
"R[1,2]",-0.107085221927364,0.0272452570788664,0.0329829604204784,"***","**",,,,"","",-0.155395437486243,0.0250070720865525,0.0338180590485102,"***","***",-0.105198016054585,0.0471934677871644,0.0425392310993108,"*","*",,,,"","",-0.148606171444782,0.0584170294931729,0.0629694563508705,"*","*",0,0,,"","",,,,"","",0,0,,"","",,,,"","",,,,"",""
"R[2,1]",0.0590614362109793,0.0193559459520762,0.0268537177536572,"**","*",,,,"","",0.0339442036620511,0.0175390983050184,0.0269587326331939,".","",0.0505818104582303,0.0425980065788891,0.0427938375006557,"","",,,,"","",0.0392723699426275,0.040874410369501,0.0503031958401643,"","",0,0,,"","",,,,"","",0,0,,"","",,,,"","",,,,"",""
"R[2,2]",0.338785878670593,0.0265905695544981,0.0321739724657902,"***","***",,,,"","",0.388339118588149,0.0245327576177993,0.0327513712319256,"***","***",0.279619918442668,0.0450227055614912,0.0411740317643011,"***","***",,,,"","",0.469782470957552,0.048530285533857,0.0534086737595097,"***","***",0.416601127536897,0.0250572189452911,,"***","",,,,"","",0.392036335834723,0.0301081237514738,,"***","",,,,"","",,,,"",""
"Lambda[1,1]",0.1999730071364,0.0483487354112227,0.0478318883770958,"***","***",0.776820241729563,0.0710357894164742,0.0721596702133386,"***","***",,,,"","",0.205526165574193,0.0467231874081209,0.045027953946663,"***","***",0.587804051959788,0.0785022768109379,0.0745100295279401,"***","***",,,,"","",,,,"","",0.764437586479121,0.0424267668439305,,"***","",0.373109397549429,0.0796413100773545,,"***","",,,,"","",,,,"",""
"Lambda[1,2]",-0.0634316123612252,0.0417642559902549,0.0413649998139064,"","",-0.0474171450282099,0.102963581458406,0.103233612549241,"","",,,,"","",-0.0684395394969081,0.0435722584660707,0.0408236869700658,"",".",-0.159468685194867,0.0874536854052352,0.0829564259885944,".",".",,,,"","",,,,"","",0,0,,"","",0,0,,"","",,,,"","",,,,"",""
"Lambda[2,1]",-0.0578053899751344,0.0416378808030389,0.0410259641367729,"","",0.107600231052478,0.107016128239439,0.107206591777614,"","",,,,"","",0.00256067835264441,0.0448359577816931,0.0433756236869078,"","",0.0809962884231698,0.0812879953805894,0.0768420460946447,"","",,,,"","",,,,"","",0,0,,"","",0,0,,"","",,,,"","",,,,"",""
"Lambda[2,2]",0.167620456154916,0.0484583460991543,0.0475731821518812,"***","***",0.724272283435977,0.0503838063078745,0.0527664146730109,"***","***",,,,"","",0.299096716391221,0.0457526277890481,0.0424699036211508,"***","***",0.59259815394139,0.0614591052294703,0.0607009123022394,"***","***",,,,"","",,,,"","",0.755956295127837,0.0433793559688213,,"***","",0.20081722426941,0.0927713224963985,,"*","",,,,"","",,,,"",""
