"gamma","loglik","penalty","AIC","BIC","df_eff","GIC_AIC","GIC_BIC","R11","R12","R21","R22","L11","L12","L21","L22"
0,-271.85091931177,0,581.701838623541,670.709461449231,19,581.701838623541,670.709461449231,,,,,0.935343862439304,-0.22043151700621,0.280071256709754,0.725831974965774
0.01,-271.850920833275,0.007640646127897,581.70184166655,670.70946449224,18.9995756303358,581.700992927221,670.706627745806,,,,,0.935143382680145,-0.220256248698426,0.27990146572506,0.725795035669986
0.0316227766016838,-271.850934389538,0.0241413083874085,581.701868779077,670.709491604767,18.9986555903432,581.699179959763,670.700504748209,,,,,0.934709842634879,-0.219876936073913,0.279533962102731,0.725715378857391
0.1,-271.851069482504,0.0761364170659311,581.702138965009,670.709761790699,18.9957240512533,581.693587067515,670.681178733561,,,,,0.93333846493763,-0.218674443515508,0.278368502294588,0.725465447743682
0.316227766016838,-271.852413432155,0.238721907379633,581.70482686431,670.71244969,18.9862262510435,581.677279366397,670.620377526192,,,,,0.928998070745335,-0.214841773056128,0.274649784579557,0.72469510991226
1,-271.865634465302,0.734776475842156,581.731268930604,670.738891756295,18.9537110133209,581.638690957246,670.429467853078,,,,,0.915247697470717,-0.202421147564307,0.262556941902986,0.722470854246843
1.12201845430196,-271.869389470342,0.820461979448855,581.738778940683,670.746401766374,18.9474769614288,581.633732863541,670.395305646768,,,,,0.912792148796933,-0.200157348607824,0.260345790690068,0.722109836476869
1.25892541179417,-271.874091289251,0.915601412614699,581.748182578503,670.755805404193,18.9403143202367,581.628811218976,670.356829809273,,,,,0.910037542937315,-0.197600184956545,0.257846005262092,0.72171835400433
1.41253754462275,-271.879973075094,1.02110172412215,581.759946150188,670.767568975878,18.9320599565898,581.624066063367,670.313416164921,,,,,0.906947952716968,-0.194710021094159,0.255017582943999,0.721296591685222
1.58489319246111,-271.887322302356,1.13792306932244,581.774644604712,670.782267430403,18.9225151936624,581.619674992037,670.264311585242,,,,,0.903483605390765,-0.191441175694916,0.25181465144829,0.720845939462447
1.77827941003892,-271.896491409324,1.26707402980637,581.792982818647,670.800605644338,18.9114367940391,581.615856406725,670.208594999131,,,,,0.899600801532133,-0.187741468691044,0.248184589078586,0.720369437602366
1.99526231496888,-271.907909154722,1.40960545148826,581.815818309444,670.823441135135,18.8985245911792,581.612867491802,670.145117427261,,,,,0.895252056642552,-0.183551257016366,0.244066758913088,0.719872642759327
2.23872113856834,-271.92209515798,1.56660027902861,581.84419031596,670.851813141651,18.8834112695176,581.611012854995,670.072462746554,,,,,0.890385060998379,-0.178803011095673,0.239393027155552,0.719363736315455
2.51188643150958,-271.939665488906,1.7391715031508,581.879330977811,670.886953803502,18.8656397610279,581.610610499867,669.988807774337,,,,,0.884945717381436,-0.173420322165129,0.234084892352934,0.718856052888049
2.81838293126445,-271.961339067661,1.92845874841461,581.922678135323,670.930300961014,18.8446468809663,581.611971897255,669.891825679591,,,,,0.878878966804218,-0.167317945055719,0.228054708888538,0.718368628052131
3.16227766016838,-271.987940301956,2.13562895053897,581.975880603912,670.983503429603,18.8197654592861,581.615411522484,669.778705505016,,,,,0.87212874551675,-0.160405614273565,0.221207094266606,0.717927054608386
3.54813389233576,-272.020353725472,2.36192729727096,582.040707450943,671.048330276634,18.7893715173733,581.61945048569,669.640360651486,,,,,0.864650247423725,-0.152586280984065,0.21344259184718,0.717567245890105
3.98107170553497,-272.059479625918,2.60873316134196,582.118959251837,671.126582077527,18.7541442862469,581.62724782433,669.483132090059,,,,,0.856410751010979,-0.14377145740002,0.204665708782836,0.717335784357017
4.46683592150963,-272.106098040427,2.87772005135837,582.212196080854,671.219818906544,18.7126058550971,581.637407791048,669.298700635064,,,,,0.847410858303292,-0.133891393439111,0.194799363754442,0.717289120121774
5.01187233627272,-272.160556326122,3.17121420552032,582.321112652244,671.328735477935,18.6657670506951,581.652646753634,669.094517985239,,,,,0.837722976525039,-0.122952257635122,0.18384086066505,0.717486121320909
5.62341325190349,-272.223120257094,3.49192424368952,582.446240514188,671.453863339879,18.6116548766136,581.669550267416,668.857926973708,,,,,0.827399133809058,-0.110936466965777,0.171770744581669,0.717998594545137
6.30957344480193,-272.292410017697,3.84463098405202,582.584820035394,671.592442861085,18.5544927577335,581.693805550861,668.614399924669,,,,,0.816732569615772,-0.0981335358110624,0.158872717546633,0.718848435574015
7.07945784384138,-272.366743556354,4.23501046319514,582.733487112709,671.741109938399,18.4968067894506,581.72710069161,668.377458701878,,,,,0.805992912216963,-0.0848430484965285,0.145445712286578,0.720031168479499
7.94328234724282,-272.443198352668,4.67074695806756,582.886396705337,671.894019531028,18.4461953014643,581.778787308265,668.192050148358,,,,,0.795594086133012,-0.071651272010655,0.132100380174946,0.721436097240342
8.91250938133745,-272.519661987606,5.1596072308808,583.039323975213,672.046946800903,18.4066158213903,581.852555617993,668.080403961556,,,,,0.785815036719763,-0.0590522914149762,0.119353981342379,0.722908768850609
8.91250938133746,-272.519661987622,5.15960723086581,583.039323975243,672.046946800934,18.4066157693601,581.852555513963,668.080403613785,,,,,0.785815036717535,-0.0590522914115631,0.119353981338662,0.722908768851596
10,-272.595070887653,5.70923111939757,583.190141775307,672.197764600998,18.3792515912901,581.948644957887,668.048302508204,,,,,0.776820241729563,-0.0474171450282099,0.107600231052478,0.724272283435977
11.2201845430196,-272.669312142097,6.32717583780378,583.338624284194,672.346247109885,18.3624412970203,582.063506878235,668.08441472687,,,,,0.768698106834943,-0.0370715495507446,0.0971904784500695,0.725329726329265
12.5892541179417,-272.744190310762,7.01986969908719,583.488380621523,672.496003447214,18.3526783564602,582.193737334444,668.168909597235,,,,,0.761343984627957,-0.0280390623781189,0.0881655355058164,0.725956009421255
14.1253754462275,-272.822404823806,7.79358056093221,583.644809647613,672.652432473303,18.3465006882147,582.337811024042,668.284043309721,,,,,0.754605092751797,-0.0202422918421225,0.0804581421304041,0.7260677596843
15.8489319246111,-272.90740435274,8.65454518727618,583.814808705479,672.82243153117,18.3412373774737,582.497283460426,668.418859178881,,,,,0.748305993383149,-0.013538237315772,0.0739299786027395,0.725616279083209
17.7827941003892,-273.003216614413,9.60914776010842,584.006433228825,673.014056054516,18.3350625183168,582.676558265459,668.56920716629,,,,,0.742278814002721,-0.00776996695495285,0.0684285499602695,0.724571252894024
19.9526231496888,-273.114537847703,10.6638437058718,584.229075695406,673.236698521096,18.3268024405716,582.882680576549,668.736634220304,,,,,0.736367438321872,-0.00278728804382699,0.0638012874527576,0.722911535306994
22.3872113856834,-273.246871511797,11.8250228487403,584.493743023595,673.501365849285,18.3156777527358,583.125098529066,668.926937329718,,,,,0.730433532655324,0.00154257639431296,0.059917580456099,0.720612999502179
25.1188643150958,-273.406788160307,13.0987272903791,584.813576320613,673.821199146304,18.3011671812761,583.415910683165,669.149773090583,,,,,0.724349839514162,0.00533025814868663,0.056666511810535,0.717647027909992
28.1838293126446,-273.602156470838,14.4903631591854,585.204312941676,674.211935767367,18.2828262084605,583.769965358597,669.417907429666,,,,,0.718000834227732,0.00866977497294586,0.0539536154341037,0.713977322594332
31.6227766016838,-273.842573810354,16.0041669005853,585.685147620707,674.692770446398,18.2602649116365,584.20567744398,669.747928599356,,,,,0.71127508928185,0.0116373006338966,0.0517020617675664,0.709557331437411
100,-282.94911334029,36.4910216604571,603.89822668058,692.905849506271,17.6899806358215,601.278187952223,684.148878701011,,,,,0.598885125352301,0.0294597827224196,0.0433725921157225,0.606966209352721
316.227766016838,-327.519610858134,40.10043190396,693.039221716268,782.046844541958,16.2678120072336,687.574845730735,763.783228643319,,,,,0.355445817599607,0.0231456261782716,0.0278329959481326,0.354915870344376
1000,-382.938952114189,17.8213603848099,803.877904228377,892.885527054068,15.3322495726437,796.542403373665,868.368039533203,,,,,0.135766448987506,0.00634320809835441,0.00613505638087401,0.130890476709222
3162.27766016838,-407.359154440748,6.022810139139,852.718308881496,941.725931707187,15.0922046570996,844.902718195696,915.603837128709,,,,,0.0447398036421402,0.00158994272502386,0.00114902055806163,0.0424695349025394
10000,-415.598796625462,1.93689313842692,869.197593250924,958.205216076615,15.0278125946905,861.253218440305,931.652685562588,,,,,0.0143027582491493,0.000453940132811079,0.000271521149266487,0.0135103644944575
