"parameter","estimate.1111","se_psi.1111","se_hessian.1111","signif_psi.1111","signif_hessian.1111","estimate.0111","se_psi.0111","se_hessian.0111","signif_psi.0111","signif_hessian.0111","estimate.1011","se_psi.1011","se_hessian.1011","signif_psi.1011","signif_hessian.1011","estimate.1101","se_psi.1101","se_hessian.1101","signif_psi.1101","signif_hessian.1101","estimate.0101","se_psi.0101","se_hessian.0101","signif_psi.0101","signif_hessian.0101","estimate.1001","se_psi.1001","se_hessian.1001","signif_psi.1001","signif_hessian.1001","estimate.d0dd","se_psi.d0dd","se_hessian.d0dd","signif_psi.d0dd","signif_hessian.d0dd","estimate.0ddd","se_psi.0ddd","se_hessian.0ddd","signif_psi.0ddd","signif_hessian.0ddd","estimate.dddd","se_psi.dddd","se_hessian.dddd","signif_psi.dddd","signif_hessian.dddd","estimate.0011","se_psi.0011","se_hessian.0011","signif_psi.0011","signif_hessian.0011","estimate.000d","se_psi.000d","se_hessian.000d","signif_psi.000d","signif_hessian.000d"
"A[2,1]",0.0964629215132047,0.0137580123543019,0.0138151588706391,"***","***",0.0872267320148145,0.0143338668850217,0.0143765046553476,"***","***",0.0954897451018048,0.0137675442038935,0.0138513285674962,"***","***",,,,"","",,,,"","",,,,"","",,,,"","",,,,"","",,,,"","",0.0848728665414915,0.0188025859232688,,"***","",,,,"",""
"A[2,2]",0.657001800260213,0.0210492778806005,0.0212986345106941,"***","***",0.634429210872845,0.0226760495332873,0.0230698863060454,"***","***",0.654243100250248,0.0207893859906058,0.0213470469828936,"***","***",,,,"","",,,,"","",,,,"","",0.753734170905695,0.0164296426147813,,"***","",0.731358342572173,0.0174237098113649,,"***","",0.757388422345114,0.0164239275990633,,"***","",0.725604690195709,0.0283937922017744,,"***","",,,,"",""
"R[1,1]",0.365847420900235,0.0220468234279999,0.0332572173134537,"***","***",,,,"","",0.414403595823191,0.0175847445950308,0.0281657753005204,"***","***",0.367284235194765,0.05995742861791,0.0777757603550831,"***","***",,,,"","",0.461693681220929,0.0496678440565744,0.0709830941361218,"***","***",0.318168168410217,0.019573649990855,,"***","",,,,"","",0.285568192710232,0.0252538402556932,,"***","",,,,"","",,,,"",""
"R[1,2]",-0.121932076232842,0.0309803886325852,0.0407977237889859,"***","**",,,,"","",-0.164950367242621,0.0255400294249505,0.0355334553870281,"***","***",-0.192764363562765,0.0810756553267419,0.0884363431716542,"*","*",,,,"","",-0.184778656466256,0.0686729724329441,0.086743421236302,"**","*",0,0,,"","",,,,"","",0,0,,"","",,,,"","",,,,"",""
"R[2,1]",0.0599192459943343,0.0214165077437135,0.0324173694265211,"**",".",,,,"","",0.0314711330838057,0.0177654757377136,0.0280866594982704,".","",0.104768451175441,0.0624137478431207,0.0754843073176564,".","",,,,"","",0.0580175324254959,0.0455641117717281,0.0645937788102062,"","",0,0,,"","",,,,"","",0,0,,"","",,,,"","",,,,"",""
"R[2,2]",0.345326381032579,0.0304099615578286,0.0400462500369656,"***","***",,,,"","",0.395714737332132,0.0250228274885309,0.0342664793221738,"***","***",0.226184494882221,0.0829290062700919,0.0870281932369148,"**","**",,,,"","",0.477866324521376,0.0550467884245621,0.067747972685942,"***","***",0.416601127536897,0.0250572189452911,,"***","",,,,"","",0.392036335834723,0.0301081237514738,,"***","",,,,"","",,,,"",""
"Lambda[1,1]",0.263939616299248,0.0676035232665688,0.0703686748640215,"***","***",0.884945717381436,0.113267407230183,0.11715228450275,"***","***",,,,"","",0.274116764411302,0.0755379836344576,0.0788576524918171,"***","***",0.847052360876063,0.192225583532573,0.200078342843722,"***","***",,,,"","",,,,"","",0.764437586479121,0.0424267668439305,,"***","",0.373109397549429,0.0796413100773545,,"***","",,,,"","",,,,"",""
"Lambda[1,2]",-0.0879107606304833,0.0680606958713964,0.0692792607487666,"","",-0.173420322165129,0.120993265836444,0.124825449959786,"","",,,,"","",-0.100425506512194,0.0792607105669863,0.080079094163153,"","",-0.41410898230312,0.179757407880364,0.191147725169875,"*","*",,,,"","",,,,"","",0,0,,"","",0,0,,"","",,,,"","",,,,"",""
"Lambda[2,1]",-0.0573449229800076,0.0679522122307328,0.0690287327040015,"","",0.234084892352934,0.122122348079697,0.125994815169097,".",".",,,,"","",0.0423270278058082,0.0748287065870087,0.0778485507936048,"","",0.311771590676297,0.165986736229415,0.174064063336677,".",".",,,,"","",,,,"","",0,0,,"","",0,0,,"","",,,,"","",,,,"",""
"Lambda[2,2]",0.222207131926818,0.0703221585502308,0.0726680743286636,"**","**",0.718856052888049,0.0477945749952804,0.05119782530709,"***","***",,,,"","",0.358214134811115,0.0769973962118428,0.0802164162866439,"***","***",0.492812809246008,0.0887212015397497,0.0946816458987492,"***","***",,,,"","",,,,"","",0.755956295127837,0.0433793559688213,,"***","",0.20081722426941,0.0927713224963985,,"*","",,,,"","",,,,"",""
"Sigma[1,1]",0.0986068352888888,,,"","",0.110049020880424,,,"","",0.10160241489551,,,"","",0.928176426308592,,,"","",0.940721650429724,,,"","",0.928517338640659,,,"","",0.107311532999737,,,"","",0.109716894655787,,,"","",0.100530248286432,,,"","",0.179829310363259,,,"","",1.05605341489686,,,"",""
"Sigma[1,2]",0.033246580576283,,,"","",0.0426241292000046,,,"","",0.0329862691434138,,,"","",0.609277860537006,,,"","",0.60909247426464,,,"","",0.610368872698174,,,"","",0,,,"","",0,,,"","",0,,,"","",0.0780506009846131,,,"","",0,,,"",""
"Sigma[2,2]",0.10138063580072,,,"","",0.114225232241552,,,"","",0.102897784072394,,,"","",0.728838920914707,,,"","",0.716249848799687,,,"","",0.737440853749223,,,"","",0.115546246129354,,,"","",0.125668021017688,,,"","",0.114110009083431,,,"","",0.189143002615963,,,"","",0.956095503236933,,,"",""
"loglik",-201.690584059288,,,"","",-271.939665488906,,,"","",-210.912231692585,,,"","",-907.858867392164,,,"","",-913.803955650093,,,"","",-915.576761461998,,,"","",-265.709221410299,,,"","",-324.559570925381,,,"","",-254.336350211876,,,"","",-419.479596567195,,,"","",-1133.05895105367,,,"",""
"AIC",449.381168118577,,,"","",581.879330977811,,,"","",459.824463385171,,,"","",1853.71773478433,,,"","",1857.60791130019,,,"","",1861.153522924,,,"","",559.418442820599,,,"","",677.119141850762,,,"","",540.672700423751,,,"","",868.95919313439,,,"","",2286.11790210733,,,"",""
"BIC",557.127237854939,,,"","",670.886953803502,,,"","",548.832086210861,,,"","",1942.72535761002,,,"","",1927.8770872152,,,"","",1931.42269883901,,,"","",625.00300700795,,,"","",742.703706038113,,,"","",615.626488066438,,,"","",939.228369049408,,,"","",2332.96401938401,,,"",""
"pAIC",445.98922317449,,,"","",581.610610499867,,,"","",459.720891234774,,,"","",1848.97889225266,,,"","",1857.06798430746,,,"","",1860.46636534916,,,"","",559.418442820599,,,"","",677.119141850762,,,"","",540.672700423751,,,"","",868.95919313439,,,"","",2286.11790210733,,,"",""
"pBIC",545.790320378515,,,"","",669.988807774337,,,"","",548.485916405261,,,"","",1926.88669642864,,,"","",1926.07248606138,,,"","",1929.12600804726,,,"","",625.00300700795,,,"","",742.703706038113,,,"","",615.626488066438,,,"","",939.228369049408,,,"","",2332.96401938401,,,"",""
"d_eff",21.3040275279565,,,"","",18.8656397610279,,,"","",18.9482139248018,,,"","",16.6305787341664,,,"","",14.7300365036372,,,"","",14.6564212125818,,,"","",14,,,"","",14,,,"","",16,,,"","",15,,,"","",10,,,"",""
"gamma",31.6227766016838,,,"","",2.51188643150958,,,"","",12.5892541179417,,,"","",17.7827941003892,,,"","",1.77827941003892,,,"","",12.5892541179417,,,"","",0,,,"","",0,,,"","",0,,,"","",0,,,"","",0,,,"",""
"n_params",23,,,"","",19,,,"","",19,,,"","",19,,,"","",15,,,"","",15,,,"","",14,,,"","",14,,,"","",16,,,"","",15,,,"","",10,,,"",""
"pseudo_R2",0.9499553453483,,,"","",0.921963033209189,,,"","",0.949960578647842,,,"","",0.60493827846137,,,"","",0.588280711795732,,,"","",0.600804709468748,,,"","",0.951839191399732,,,"","",0.943795120828465,,,"","",0.952917075186792,,,"","",0.922341300623318,,,"","",0.589096335097387,,,"",""
"adj_R2",,,,"","",,,,"","",,,,"","",,,,"","",,,,"","",,,,"","",0.952229875550569,,,"","",0.949131920707966,,,"","",0.95355171794787,,,"","",0.921355784133767,,,"","",0.585983428545095,,,"",""
