"parameter","true","est_1111","bias_1111","est_0111","bias_0111","est_1011","bias_1011","est_1101","bias_1101","est_0101","bias_0101","est_1001","bias_1001","est_d0dd","bias_d0dd","est_0ddd","bias_0ddd","est_dddd","bias_dddd","est_0011","bias_0011","est_000d","bias_000d"
"R[2,1]",0.1,0.0599192459943343,-0.0400807540056657,,,0.0314711330838057,-0.0685288669161943,0.104768451175441,0.00476845117544085,,,0.0580175324254959,-0.0419824675745041,0,-0.1,,,0,-0.1,,,,
"R[2,2]",0.35,0.345326381032579,-0.00467361896742113,,,0.395714737332132,0.0457147373321318,0.226184494882221,-0.123815505117779,,,0.477866324521376,0.127866324521376,0.416601127536897,0.0666011275368967,,,0.392036335834723,0.0420363358347228,,,,
"Lambda[1,1]",0.22,0.263939616299248,0.0439396162992478,0.884945717381436,0.664945717381436,,,0.274116764411302,0.0541167644113023,0.847052360876063,0.627052360876063,,,,,0.764437586479121,0.544437586479121,0.373109397549429,0.153109397549429,,,,
"Lambda[1,2]",0.08,-0.0879107606304833,-0.167910760630483,-0.173420322165129,-0.253420322165129,,,-0.100425506512194,-0.180425506512194,-0.41410898230312,-0.49410898230312,,,,,0,-0.08,0,-0.08,,,,
"Lambda[2,1]",0.05,-0.0573449229800076,-0.107344922980008,0.234084892352934,0.184084892352934,,,0.0423270278058082,-0.00767297219419178,0.311771590676297,0.261771590676297,,,,,0,-0.05,0,-0.05,,,,
"Lambda[2,2]",0.17,0.222207131926818,0.0522071319268178,0.718856052888049,0.548856052888049,,,0.358214134811115,0.188214134811115,0.492812809246008,0.322812809246008,,,,,0.755956295127837,0.585956295127837,0.20081722426941,0.0308172242694099,,,,
"A[1,1]",0.55,0.559012246375021,0.00901224637502096,0.534918082919242,-0.015081917080758,0.555626495924565,0.00562649592456455,,,,,,,0.56353950831499,0.0135395083149895,0.546911381069177,-0.00308861893082335,0.567554385062865,0.0175543850628652,0.569524847687705,0.0195248476877046,,
"A[1,2]",0.05,0.0194858596664017,-0.0305141403335983,0.0245120611902279,-0.0254879388097721,0.0250237330153198,-0.0249762669846802,,,,,,,,,,,,,0.0223564297347874,-0.0276435702652126,,
"A[2,1]",0.1,0.0964629215132047,-0.00353707848679531,0.0872267320148145,-0.0127732679851855,0.0954897451018048,-0.00451025489819516,,,,,,,,,,,,,0.0848728665414915,-0.0151271334585085,,
"A[2,2]",0.65,0.657001800260213,0.00700180026021324,0.634429210872845,-0.0155707891271554,0.654243100250248,0.00424310025024843,,,,,,,0.753734170905695,0.103734170905695,0.731358342572173,0.0813583425721729,0.757388422345114,0.107388422345114,0.725604690195709,0.0756046901957088,,
"Sigma[1,1]",0.1,0.0986068352888888,-0.0013931647111112,0.110049020880424,0.0100490208804241,0.10160241489551,0.0016024148955095,0.928176426308592,0.828176426308592,0.940721650429724,0.840721650429724,0.928517338640659,0.828517338640659,0.107311532999737,0.00731153299973664,0.109716894655787,0.00971689465578682,0.100530248286432,0.00053024828643175,0.179829310363259,0.0798293103632592,1.05605341489686,0.956053414896861
"Sigma[1,2]",0.03,0.033246580576283,0.00324658057628296,0.0426241292000046,0.0126241292000046,0.0329862691434138,0.00298626914341375,0.609277860537006,0.579277860537006,0.60909247426464,0.57909247426464,0.610368872698174,0.580368872698174,0,-0.03,0,-0.03,0,-0.03,0.0780506009846131,0.0480506009846131,0,-0.03
"Sigma[2,2]",0.1,0.10138063580072,0.00138063580071991,0.114225232241552,0.0142252322415519,0.102897784072394,0.00289778407239401,0.728838920914707,0.628838920914707,0.716249848799687,0.616249848799687,0.737440853749223,0.637440853749223,0.115546246129354,0.0155462461293538,0.125668021017688,0.0256680210176883,0.114110009083431,0.0141100090834313,0.189143002615963,0.0891430026159627,0.956095503236933,0.856095503236933
