"Model_ID","Optimized_For","Optimal_gamma","Criterion_Value","free_spatial_param_count","beta_count","sigma_count","d_spatial_eff","d_eff_used","d_eff_unpenalized","rho11","rho12","rho21","rho22","lambda11","lambda12","lambda21","lambda22","alpha11","alpha12","alpha21","alpha22","sigma11","sigma12","sigma21","sigma22","beta_intercept_y1","beta_intercept_y2","beta_common1_y1","beta_common1_y2","beta_common2_y1","beta_common2_y2","beta_specific1_1","beta_specific2_1","logLik","beta_sigma_iterations","pseudo_R2_avg","AIC","BIC","pAIC","pBIC","Group"
"0101_pBIC","pBIC",8.91250938133745,1923.62014765741,4,8,3,3.06471948442212,14.0647194844221,15,0,0,0,0,0.587804933157088,-0.159475566673896,0.0810058324963702,0.59258267368465,NA,NA,NA,NA,0.923685484976718,0.594990407428485,0.594990407428485,0.704713470194818,"0.6072***","-0.1153","1.0661***","0.7371***","-0.5414***","-0.2989***","0.7801***","0.4932***",-914.80147942274,3,0.588384181076246,1859.60295884548,1929.8721347605,1857.73239781432,1923.62014765741,"pBIC"
"1101_pAIC","pAIC",15.8489319246111,1848.97870127661,8,8,3,5.73858121309105,16.738581213091,19,0.373797577346785,-0.20140210788228,0.110319230767101,0.21851297066664,0.280976355204185,-0.105425261310325,0.0490723150336859,0.360181260598438,NA,NA,NA,NA,0.928617032567804,0.609767928087679,0.609767928087679,0.728962529310188,"0.3566***","-0.141*","1.0978***","0.7739***","-0.5558***","-0.3144***","0.7999***","0.5106***",-907.750769425213,3,0.605124308388364,1853.50153885043,1942.50916167612,1848.97870127661,1927.39245513198,"pAIC"
"1101_pBIC","pBIC",70.7945784384138,1921.90013537957,8,8,3,4.07945877585457,15.0794587758546,19,0.284946231927332,-0.105232583343212,0.0505652662427544,0.279629144695506,0.205476894992993,-0.0683523365771409,0.00254524699081756,0.299110203517624,NA,NA,NA,NA,0.930688123105824,0.609206186430665,0.609206186430665,0.734111649689156,"0.4214***","-0.0979","1.092***","0.7699***","-0.5522***","-0.3108***","0.8011***","0.5102***",-910.549904199806,3,0.602350039668659,1859.09980839961,1948.1074312253,1851.25872595132,1921.90013537957,"pBIC"
"000d_pAIC","pAIC",0,2286.11790210733,0,8,2,0,10,10,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1.04549288074789,0,0,0.946534548204565,"0.5976***","-0.1098*","1.0821***","0.7884***","-0.5591***","-0.3149***","0.8722***","0.5454***",-1133.05895105367,1,0.589096335097388,2286.11790210733,2332.96401938401,2286.11790210733,2332.96401938401,"pAIC"
"000d_pBIC","pBIC",0,2332.96401938401,0,8,2,0,10,10,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1.04549288074789,0,0,0.946534548204565,"0.5976***","-0.1098*","1.0821***","0.7884***","-0.5591***","-0.3149***","0.8722***","0.5454***",-1133.05895105367,1,0.589096335097388,2286.11790210733,2332.96401938401,2286.11790210733,2332.96401938401,"pBIC"
"d0dd_pAIC","pAIC",0,559.418442820628,2,10,2,2,14,14,0.318168146218445,0,0,0.416600991670625,0,0,0,0,"0.5635***",NA,NA,"0.7537***",0.107311533244809,0,0,0.11554624841029,"0.2249***","-0.0056","1.1723***","0.7675***","-0.5879***","-0.3291***","0.7851***","0.4749***",-265.709221410314,1,0.945529571893252,559.418442820628,625.003007007979,559.418442820628,625.003007007979,"pAIC"
"d0dd_pBIC","pBIC",0,625.003007007979,2,10,2,2,14,14,0.318168146218445,0,0,0.416600991670625,0,0,0,0,"0.5635***",NA,NA,"0.7537***",0.107311533244809,0,0,0.11554624841029,"0.2249***","-0.0056","1.1723***","0.7675***","-0.5879***","-0.3291***","0.7851***","0.4749***",-265.709221410314,1,0.945529571893252,559.418442820628,625.003007007979,559.418442820628,625.003007007979,"pBIC"
"0ddd_pAIC","pAIC",0,677.119141851,2,10,2,2,14,14,0,0,0,0,0.764437025048596,0,0,0.755955948500483,"0.5469***",NA,NA,"0.7314***",0.109716920664284,0,0,0.125668038883756,"0.409***","-0.0774","1.118***","0.7177***","-0.5583***","-0.3156***","0.756***","0.4595***",-324.5595709255,1,0.919492374483996,677.119141851,742.703706038351,677.119141851,742.703706038351,"pAIC"
"0ddd_pBIC","pBIC",0,742.703706038351,2,10,2,2,14,14,0,0,0,0,0.764437025048596,0,0,0.755955948500483,"0.5469***",NA,NA,"0.7314***",0.109716920664284,0,0,0.125668038883756,"0.409***","-0.0774","1.118***","0.7177***","-0.5583***","-0.3156***","0.756***","0.4595***",-324.5595709255,1,0.919492374483996,677.119141851,742.703706038351,677.119141851,742.703706038351,"pBIC"
"dddd_pAIC","pAIC",0,540.672700423866,4,10,2,4,16,16,0.285568192326956,0,0,0.392036079773195,0.3731089113578,0,0,0.200817691503101,"0.5676***",NA,NA,"0.7574***",0.100530254430696,0,0,0.114110009779956,"0.2426***","-0.0092","1.173***","0.7659***","-0.5885***","-0.3325***","0.783***","0.4783***",-254.336350211933,1,0.945427718880027,540.672700423866,615.626488066552,540.672700423866,615.626488066552,"pAIC"
"dddd_pBIC","pBIC",0,615.626488066552,4,10,2,4,16,16,0.285568192326956,0,0,0.392036079773195,0.3731089113578,0,0,0.200817691503101,"0.5676***",NA,NA,"0.7574***",0.100530254430696,0,0,0.114110009779956,"0.2426***","-0.0092","1.173***","0.7659***","-0.5885***","-0.3325***","0.783***","0.4783***",-254.336350211933,1,0.945427718880027,540.672700423866,615.626488066552,540.672700423866,615.626488066552,"pBIC"
